subject	screen_resolution	total_time	image_load	age	gender-categorical	gender-free-response	ethnicity	race	education	free-response
1hq0a5sv7olx9j5ab2evp9yz	[900, 1440]	429.324	True	21	Female		Not Hispanic or Latino	['White']	Bachelor degree	
1lpe7v1rcx3fr2hpummtb1fs	[900, 1440]	450.106	True	25	Female		Not Hispanic or Latino	['White']	Master degree or higher	no comment
1m4rjpumvcw0huviraq7tny8	[900, 1440]	332.821	True	20	Male		Not Hispanic or Latino	['White']	Some college	
1naj3589qwupt0nxk4w2xmmx	[752, 1128]	232.543	True	18	Female		Not Hispanic or Latino	['White']	Some college	
1qteoxfbiw6vg2dyk6yvoeih	[768, 1366]	524.546	True	35	Male		Not Hispanic or Latino	['White']	Master degree or higher	
1u89kobgictbxh3tts4p9ovc	[1080, 1920]	417.939	True	22	Female		Not Hispanic or Latino	['White']	Some college	
1v5wju57r2v3rdfpkdkdtq8t	[1080, 1920]	205.226	True	31	Male		Not Hispanic or Latino	['White']	Some college	
1vezn6h45hqrn0m1ic7asy8v	[1080, 1920]	339.869	True	25	Male		Not Hispanic or Latino	['American Indian/Alaska Native']	Some college	
1w57id0aohs1ngpw3se1jl1x	[768, 1360]	547.493	True	21	Male		Not Hispanic or Latino	['White']	High school	
1wivxuhm01hyzk7nc39139yx	[1080, 1920]	407.791	True	22	Female		Not Hispanic or Latino	['White']	Bachelor degree	
1xtrx6f9pyiq1n0rxu28a115	[768, 1366]	295.325	True	42	Male		Not Hispanic or Latino	['White']	Master degree or higher	No
1y5qgx77f4louwxnfrfaazed	[1440, 2560]	370.39	True	24	Male		Not Hispanic or Latino	['White']	High school	
1y7vnm5uywcpkpjvywthival	[1080, 810]	224.006	True	21	Female		Hispanic or Latino	['White']	Some college	
1ygwp7fma3fsmhfvk0arkk6z	[768, 1366]	495.651	True	48	Male		Not Hispanic or Latino	['White']	Master degree or higher	
1ztz9o9srgpb2yhdsxnv7ecj	[720, 1280]	493.773	True	25	Female		Not Hispanic or Latino	['White']	Master degree or higher	
22s5ikym9foi76ykw4ugev55	[864, 1536]	493.915	True	21	Male		Not Hispanic or Latino	['Asian']	Associate degree	This was a fun puzzle, but I wish there was the 30 second countdown timer so I could know how much time I have.
23v0pmln9wfaj14u98x6j05i	[900, 1440]	497.26	True	34	Male		Not Hispanic or Latino	['White']	Some college	
241svjoh2d3bcbz63rlg90zo	[768, 1366]	448.715	True	32	Male		Not Hispanic or Latino	['White']	Master degree or higher	
25qshlhy4deq4im0io70boaf	[853, 1517]	448.555	True	35	Male		Not Hispanic or Latino	['White']	Bachelor degree	
26644x2hm5urrqk371umteoa	[1043, 1564]	444.6	True	40	Female		Not Hispanic or Latino	['White']	Associate degree	
26fw6mpksid4uky6r534gkz1	[1003, 1504]	193.681	True	20	Female		Not Hispanic or Latino	['Asian']	High school	
2ak4ea9ygmndywzmwdepf5dc	[864, 1536]	320.428	True	19	Male		Hispanic or Latino	['American Indian/Alaska Native']	Some college	Thank you for the challenge. 
2az2ts134obztar0ntfxtrdo	[800, 1280]	267.925	True	22	Female		Rather not say	['Black or African American']	High school	
2b6j8vz42thx8cakpf490sit	[768, 1366]	327.542	True	51	Female		Rather not say	['Rather not say']	Rather not say	
2bpou7zuxefy9xhe74f31zd0	[1080, 1920]	341.518	True	25	Female		Hispanic or Latino	['White']	High school	
2gmcwjhr7z936kyy94lccpbl	[900, 1440]	297.562	True	23	Female		Not Hispanic or Latino	['White']	Bachelor degree	
2hbjprxch7iah7yy5j56wi0n	[900, 1440]	368.297	True	18	Female		Not Hispanic or Latino	['American Indian/Alaska Native']	Some college	
2i42r2eepsi2ds5yuntjtm3i	[900, 1440]	271.817	True	21	Male		Not Hispanic or Latino	['White']	Bachelor degree	
2i822ubn7ntzjkjwaq4ca78r	[1080, 1920]	414.793	True	24	Male		Not Hispanic or Latino	['American Indian/Alaska Native', 'White']	Associate degree	
2jkjdct4l2sj2hzpc46607qk	[900, 1440]	399.176	True	22	Male		Not Hispanic or Latino	['Black or African American']	Bachelor degree	
2jyaj21vurwztq2io1bo4wp5	[864, 1536]	301.408	True	22	Female		Not Hispanic or Latino	['Asian']	Bachelor degree	
2k38gxnthl0z3g7ni36g086k	[900, 1440]	415.568	True	25	Female		Not Hispanic or Latino	['Asian', 'White']	Bachelor degree	no comment
