seed,param,trial,latent,predicted,stdev
59,theta,1,-0.055913,-0.414372,0.59932
59,theta,2,1.645225,1.50962,0.621102
59,theta,3,-1.096963,-1.134255,0.611628
59,theta,4,0.129976,0.019572,0.539989
59,theta,5,-0.821977,-1.172515,0.645808
59,theta,6,-0.626155,-1.11461,0.577094
59,theta,7,-0.700891,-1.399435,0.64798
59,theta,8,-0.627989,-0.560186,0.671413
59,theta,9,-1.073408,-0.14704,0.582992
59,theta,10,-1.066634,-0.735149,0.615248
59,theta,11,-0.843994,-0.757784,0.593454
59,theta,12,-0.51121,-0.102847,0.598565
59,theta,13,0.092519,-0.441458,0.564473
59,theta,14,-0.174682,-0.076841,0.536944
59,theta,15,-1.358909,-0.49127,0.565644
59,theta,16,1.842755,1.91134,0.671633
59,theta,17,0.454068,0.662762,0.574342
59,theta,18,0.494543,0.110056,0.556228
59,theta,19,0.064021,-0.13652,0.575623
59,theta,20,1.593564,1.024835,0.576298
59,theta,21,-1.002836,-0.966288,0.707509
59,theta,22,-0.082562,0.414922,0.593671
59,theta,23,-0.194851,-1.325785,0.62356
59,theta,24,0.093022,-0.737944,0.611117
59,theta,25,1.165905,1.476,0.617118
59,theta,26,-0.053599,0.109942,0.588605
59,theta,27,1.338601,0.818329,0.628718
59,theta,28,-0.440111,0.160686,0.523024
59,theta,29,-1.021825,-1.03498,0.636677
59,theta,30,-1.259901,-1.346265,0.64142
59,theta,31,-2.014712,-0.871478,0.574568
59,theta,32,-0.284485,-0.660164,0.611112
59,theta,33,-0.954988,-0.290618,0.581255
59,theta,34,2.011024,0.738179,0.643436
59,theta,35,0.609937,0.86086,0.634102
59,theta,36,-0.741416,-0.334368,0.607975
59,theta,37,-1.331508,-0.923958,0.661011
59,theta,38,0.808437,0.363386,0.54103
59,theta,39,0.608208,0.634822,0.567446
59,theta,40,-1.226063,-0.37622,0.609563
59,theta,41,-1.510328,-1.078165,0.610477
59,theta,42,0.06761,0.247104,0.580716
59,theta,43,0.336854,1.29966,0.621508
59,theta,44,-0.678574,-0.59707,0.560807
59,theta,45,-0.492524,-0.905474,0.561804
59,theta,46,-0.599087,-1.084465,0.596443
59,theta,47,1.782995,1.09437,0.65624
59,theta,48,-1.373015,-1.360275,0.598469
59,theta,49,-0.568954,-1.00732,0.613882
59,theta,50,2.070392,1.87379,0.683925
59,theta,51,-0.271082,0.005838,0.608831
59,theta,52,-0.652033,-0.713636,0.595611
59,theta,53,0.102406,0.250436,0.544325
59,theta,54,0.171117,-0.563752,0.558801
59,theta,55,0.509124,0.593142,0.581519
59,theta,56,0.381227,0.489272,0.561101
59,theta,57,1.061743,0.12362,0.650608
59,theta,58,-0.069505,-1.03056,0.652126
59,theta,59,-0.088365,0.591036,0.593347
59,theta,60,1.262518,1.445745,0.646573
59,theta,61,0.894415,0.890408,0.620535
59,theta,62,1.204055,0.748222,0.562368
59,theta,63,0.036337,-0.479458,0.612553
59,theta,64,-0.460854,-0.552944,0.582128
59,theta,65,0.03516,-0.16384,0.593395
59,theta,66,0.335535,0.763664,0.592149
59,theta,67,0.00984,-0.18652,0.629689
59,theta,68,-0.471984,-0.01176,0.561816
59,theta,69,-0.069206,0.140682,0.57833
59,theta,70,-0.23228,-0.2106,0.571812
59,theta,71,-0.294283,0.268362,0.567883
59,theta,72,-1.716237,-1.30536,0.704118
59,theta,73,-0.031378,0.064877,0.542526
59,theta,74,-0.045172,-0.174737,0.549413
59,theta,75,-0.801129,-0.460978,0.550104
59,theta,76,0.758017,0.64278,0.620885
59,theta,77,-0.856682,-1.367705,0.618601
59,theta,78,-0.357523,0.049466,0.604855
59,theta,79,-0.950666,-0.779267,0.623754
59,theta,80,-0.841703,-0.587173,0.651016
59,theta,81,0.844716,0.42394,0.554072
59,theta,82,-0.291346,-0.271768,0.585523
59,theta,83,1.026797,0.21512,0.616395
59,theta,84,-0.868357,-1.07994,0.623909
59,theta,85,0.347457,0.525606,0.574152
59,theta,86,3.045574,1.763445,0.717679
59,theta,87,-0.79644,-1.185295,0.662305
59,theta,88,1.053058,1.71303,0.660681
59,theta,89,0.513535,0.441678,0.555321
59,theta,90,0.452698,0.420012,0.577522
59,theta,91,-0.951868,-1.20536,0.642551
59,theta,92,-0.47752,-0.160273,0.591674
59,theta,93,-0.11771,0.002933,0.535415
59,theta,94,-0.032307,-0.05701,0.546377
59,theta,95,0.921729,0.928878,0.622881
59,theta,96,2.323188,0.958548,0.638425
59,theta,97,0.814819,-0.024825,0.586106
59,theta,98,0.275557,0.387541,0.556064
59,theta,99,1.629231,1.52746,0.652187
59,theta,100,0.845572,-0.027472,0.585172
59,theta,101,-0.347173,-0.049108,0.545351
59,theta,102,1.121097,0.706751,0.613643
59,theta,103,-0.539887,-0.119871,0.554195
59,theta,104,0.893539,0.71244,0.603721
59,theta,105,-1.112402,-0.293184,0.561494
59,theta,106,1.497964,1.52469,0.678769
59,theta,107,-1.673998,-0.491706,0.591735
59,theta,108,0.740807,0.440106,0.542816
59,theta,109,1.158244,0.538942,0.602015
59,theta,110,0.685314,0.791709,0.610947
59,theta,111,-1.883122,-0.86793,0.617298
59,theta,112,-0.976324,-0.824843,0.591703
59,theta,113,-0.900186,-0.946964,0.599957
59,theta,114,0.903453,1.42856,0.595157
59,theta,115,1.268542,1.01251,0.604973
59,theta,116,0.543495,0.979242,0.595591
59,theta,117,0.794187,0.235766,0.601047
59,theta,118,-1.494242,-1.06885,0.608635
59,theta,119,-2.566189,-1.188415,0.632382
59,theta,120,0.586193,0.513409,0.576616
59,theta,121,0.906218,0.594926,0.597324
59,theta,122,0.209454,0.185345,0.583419
59,theta,123,-0.472188,0.075385,0.572675
59,theta,124,-2.546841,-0.034785,0.608899
59,theta,125,-0.114706,-0.618738,0.680482
59,theta,126,0.193733,-0.03587,0.575224
59,theta,127,-1.513741,-0.7907,0.627449
59,theta,128,1.168074,0.004792,0.559379
59,theta,129,-0.292599,-0.439031,0.587977
59,theta,130,0.093591,0.242136,0.529605
59,theta,131,0.119886,0.245986,0.586604
59,theta,132,0.36324,-0.679716,0.613687
59,theta,133,1.133,0.694265,0.579945
59,theta,134,0.309903,-0.685646,0.593431
59,theta,135,2.267007,1.016885,0.628381
59,theta,136,-0.311318,-0.515864,0.519883
59,theta,137,0.456957,0.036218,0.607561
59,theta,138,1.388204,0.924152,0.606524
59,theta,139,-0.056121,0.03755,0.578132
59,theta,140,-0.478856,0.011162,0.613856
59,theta,141,-1.09135,-0.182749,0.573927
59,theta,142,-0.885466,0.010125,0.591755
59,theta,143,-0.52061,0.094883,0.587793
59,theta,144,-0.739735,-0.72014,0.609877
59,theta,145,1.488193,0.409736,0.554449
59,theta,146,-0.374032,-1.069075,0.661597
59,theta,147,0.60925,0.738682,0.574769
59,theta,148,-0.935691,-0.296741,0.615846
59,theta,149,-1.121567,-1.37518,0.577287
59,theta,150,-0.481823,-0.803742,0.541105
59,theta,151,-1.362016,-1.215345,0.660704
59,theta,152,2.213925,1.434165,0.610866
59,theta,153,-0.640627,-0.41209,0.586002
59,theta,154,0.06251,-0.151614,0.566362
59,theta,155,1.043269,0.895261,0.625982
59,theta,156,-0.934651,-1.097745,0.610882
59,theta,157,-0.164669,0.076858,0.575093
59,theta,158,1.119491,0.462872,0.608239
59,theta,159,0.272224,0.217008,0.508792
59,theta,160,0.926333,0.80729,0.614323
59,theta,161,-2.39384,-1.184595,0.557761
59,theta,162,-0.004965,0.375196,0.58698
59,theta,163,-1.903043,-0.833268,0.566684
59,theta,164,0.034725,-0.441354,0.586267
59,theta,165,0.578402,0.212396,0.600747
59,theta,166,-0.641481,-1.52483,0.656258
59,theta,167,-1.692125,-1.295225,0.624291
59,theta,168,-0.579213,-0.903854,0.655489
59,theta,169,0.40772,-0.527215,0.562936
59,theta,170,-1.318811,-1.10091,0.599491
59,theta,171,-0.913533,-0.62735,0.594879
59,theta,172,-1.04758,-0.258524,0.602025
59,theta,173,1.02216,0.289818,0.521375
59,theta,174,0.49825,-0.234686,0.559932
59,theta,175,-0.100825,-0.894586,0.684443
59,theta,176,1.02547,0.870478,0.611277
59,theta,177,-0.965163,-0.804981,0.615793
59,theta,178,1.737612,1.39219,0.605171
59,theta,179,0.008705,0.093833,0.573333
59,theta,180,-1.890517,-0.50575,0.593705
59,theta,181,0.472813,-0.563578,0.592543
59,theta,182,1.082095,1.11624,0.647711
59,theta,183,-0.001661,0.89553,0.608437
59,theta,184,0.431635,0.037879,0.496467
59,theta,185,0.643481,0.82681,0.62395
59,theta,186,1.086665,1.536055,0.590935
59,theta,187,1.544938,1.48191,0.668702
59,theta,188,1.651324,0.708902,0.572092
59,theta,189,0.927162,0.984003,0.644388
59,theta,190,0.651301,0.418684,0.582095
59,theta,191,0.001466,0.34789,0.633532
59,theta,192,0.750066,0.363593,0.595865
59,theta,193,-0.562257,0.504811,0.568101
59,theta,194,0.425132,-0.115236,0.570527
59,theta,195,0.980115,1.27827,0.636888
59,theta,196,0.406135,0.121697,0.611899
59,theta,197,-0.579827,0.389412,0.642479
59,theta,198,-1.428952,-0.984029,0.568773
59,theta,199,-0.837698,-0.568409,0.594583
59,theta,200,-0.427214,-0.055696,0.539747
59,theta,201,-0.677678,-0.587758,0.582031
59,theta,202,-0.079817,-0.664437,0.675364
59,theta,203,-1.353534,-0.493967,0.604584
59,theta,204,1.060423,0.55756,0.580382
59,theta,205,-0.022104,0.800549,0.601186
59,theta,206,0.536886,0.37088,0.563593
59,theta,207,0.477035,0.40247,0.548766
59,theta,208,1.574008,1.669125,0.691677
59,theta,209,-0.926073,-0.161338,0.598967
59,theta,210,-0.70384,-0.931666,0.631454
59,theta,211,0.06949,-0.433882,0.529168
59,theta,212,1.042419,0.232842,0.607208
59,theta,213,-0.326653,0.42035,0.579698
59,theta,214,1.276532,1.325215,0.607572
59,theta,215,1.267376,0.474408,0.64789
59,theta,216,-0.674872,-0.83998,0.625556
59,theta,217,1.844746,1.252905,0.612774
59,theta,218,-0.434957,-1.177745,0.624061
59,theta,219,1.589486,0.634378,0.614673
59,theta,220,1.423625,1.18903,0.611906
59,theta,221,-1.206208,-0.966972,0.61103
59,theta,222,-1.934006,-0.935998,0.662879
59,theta,223,0.551708,0.797888,0.557047
59,theta,224,-0.289707,-0.012811,0.549167
59,theta,225,-1.518282,-0.966254,0.643653
59,theta,226,1.411112,0.733558,0.625736
59,theta,227,-0.954216,-0.523228,0.537084
59,theta,228,2.194878,1.783225,0.669772
59,theta,229,0.621121,1.14231,0.562307
59,theta,230,-0.437093,-0.226996,0.56274
59,theta,231,1.024225,0.395251,0.60512
59,theta,232,-0.192524,-0.135784,0.545856
59,theta,233,0.053574,0.094823,0.572395
59,theta,234,-0.100652,0.374472,0.545566
59,theta,235,-0.039567,-0.318805,0.533131
59,theta,236,-0.27746,-0.399139,0.553448
59,theta,237,-0.33781,0.095365,0.599025
59,theta,238,0.799133,0.39897,0.580834
59,theta,239,1.08502,1.26077,0.601207
59,theta,240,-1.471843,-1.033055,0.59521
59,theta,241,-1.05774,-1.01663,0.591815
59,theta,242,-0.595057,-1.072695,0.653751
59,theta,243,1.232719,0.498682,0.57803
59,theta,244,1.109835,0.836998,0.682286
59,theta,245,0.887612,0.630213,0.602976
59,theta,246,-2.838921,-1.449615,0.659678
59,theta,247,0.015165,0.000384,0.55587
59,theta,248,-0.287067,-0.939604,0.619597
59,theta,249,-0.77781,-0.57414,0.588146
59,theta,250,-0.302528,-1.16889,0.619939
59,theta,251,-0.930829,-0.699231,0.590906
59,theta,252,-1.658834,-0.91148,0.577826
59,theta,253,0.464552,0.415552,0.546543
59,theta,254,1.347969,0.416189,0.637095
59,theta,255,0.812053,0.680936,0.572726
59,theta,256,0.390379,-0.275588,0.620067
59,theta,257,-0.662105,-0.365316,0.537056
59,theta,258,0.741026,-0.028237,0.539457
59,theta,259,-0.103311,-0.295822,0.564905
59,theta,260,-0.100008,-0.92919,0.598134
