seed,param,trial,latent,predicted,stdev
20,theta,1,0.341379,0.93239,0.425243
20,theta,2,-0.412396,-0.521047,0.457376
20,theta,3,1.53692,1.18659,0.497554
20,theta,4,0.437491,0.204568,0.39475
20,theta,5,1.255062,0.606374,0.409061
20,theta,6,-0.702702,-0.635742,0.468523
20,theta,7,-1.13553,-0.97895,0.483005
20,theta,8,0.491178,0.276025,0.355517
20,theta,9,-0.469962,-0.633182,0.515027
20,theta,10,-1.086695,-0.13766,0.372475
20,theta,11,-1.446538,-0.657696,0.454162
20,theta,12,0.280881,0.183273,0.472442
20,theta,13,-0.226579,-0.64996,0.505284
20,theta,14,0.886964,0.574812,0.515547
20,theta,15,-0.449798,0.808716,0.490049
20,theta,16,-1.141901,-0.351068,0.43767
20,theta,17,-0.758264,0.086369,0.472031
20,theta,18,0.667229,0.164798,0.50482
20,theta,19,-0.969261,-0.876288,0.428686
20,theta,20,0.834995,0.983743,0.439407
20,theta,21,0.826523,0.62496,0.385214
20,theta,22,0.20543,0.966198,0.493994
20,theta,23,0.264609,0.046837,0.459911
20,theta,24,1.481169,1.372915,0.521589
20,theta,25,-0.134646,-0.381459,0.396256
20,theta,26,1.193694,1.154935,0.488816
20,theta,27,-0.322018,-0.23276,0.404983
20,theta,28,-0.093608,-0.039274,0.399099
20,theta,29,0.640164,0.984899,0.486912
20,theta,30,-0.87918,-0.213303,0.462438
20,theta,31,0.122531,0.846558,0.475461
20,theta,32,1.180137,0.772858,0.463086
20,theta,33,-0.231793,-0.623678,0.546717
20,theta,34,0.027454,0.170788,0.442006
20,theta,35,0.321263,0.817726,0.487776
20,theta,36,-0.992766,-1.047935,0.534099
20,theta,37,-0.348421,-0.869848,0.522162
20,theta,38,-0.167104,-0.44191,0.411033
20,theta,39,-0.132181,-0.713444,0.46217
20,theta,40,-0.332785,0.125101,0.398727
20,theta,41,-1.867483,-0.539951,0.450215
20,theta,42,0.22181,-0.605625,0.503269
20,theta,43,1.430458,1.711215,0.519902
20,theta,44,-2.549063,-1.70651,0.504843
20,theta,45,-0.751968,0.026535,0.472939
20,theta,46,-1.190978,-1.35907,0.518186
20,theta,47,0.665127,0.571497,0.474336
20,theta,48,0.852922,0.301093,0.428958
20,theta,49,-1.489549,-1.165115,0.51323
20,theta,50,1.089247,0.682619,0.419182
20,theta,51,0.918601,0.756968,0.44705
20,theta,52,1.313848,1.096065,0.488419
20,theta,53,1.118442,0.37882,0.497071
20,theta,54,-0.354572,-0.345066,0.491481
20,theta,55,0.453827,0.434798,0.481627
20,theta,56,0.956426,1.025165,0.451478
20,theta,57,-3.004618,-1.12677,0.53995
20,theta,58,0.441472,-0.09932,0.443935
20,theta,59,-0.52783,0.191771,0.454526
20,theta,60,-0.350671,-0.058812,0.48694
20,theta,61,0.148394,0.267938,0.452633
20,theta,62,-0.799793,-1.1087,0.495196
20,theta,63,0.340143,0.306779,0.44179
20,theta,64,0.496927,0.482527,0.388889
20,theta,65,-1.478913,-2.202475,0.586058
20,theta,66,2.093981,1.97754,0.570159
20,theta,67,-0.383248,0.01905,0.457215
20,theta,68,-0.659589,-0.196015,0.463389
20,theta,69,-0.887617,-0.553692,0.518296
20,theta,70,2.134143,2.108215,0.574616
20,theta,71,-0.421952,-0.015425,0.47304
20,theta,72,-0.366296,-0.128651,0.393285
20,theta,73,-0.55431,-0.527094,0.468528
20,theta,74,1.087018,1.223795,0.47131
20,theta,75,0.82523,0.295939,0.520969
20,theta,76,-0.046872,0.652098,0.448387
20,theta,77,0.011134,-0.536186,0.52032
20,theta,78,0.111446,-0.162303,0.47234
20,theta,79,0.669724,1.069525,0.49953
20,theta,80,-0.17273,-0.648205,0.482295
20,theta,81,-0.016402,-0.294358,0.49455
20,theta,82,-1.425557,-1.588535,0.532981
20,theta,83,-0.071661,-0.869579,0.544657
20,theta,84,-0.236427,-0.074029,0.410434
20,theta,85,-1.424832,-0.786838,0.451321
20,theta,86,0.260605,-0.256214,0.427261
20,theta,87,0.345342,0.557642,0.422967
20,theta,88,-0.314472,-0.424995,0.501755
20,theta,89,-0.059549,0.583384,0.424709
20,theta,90,-1.829911,-1.052145,0.535464
20,theta,91,0.52525,1.00782,0.487246
20,theta,92,-0.259998,-0.545828,0.489222
20,theta,93,0.021297,0.381618,0.462814
20,theta,94,0.362143,0.021214,0.489124
20,theta,95,0.637217,0.673252,0.461181
20,theta,96,0.066795,0.009312,0.464864
20,theta,97,-0.616911,-0.684684,0.520278
20,theta,98,0.773201,1.05224,0.478953
20,theta,99,-1.648087,-1.300615,0.548201
20,theta,100,-0.534998,-0.418008,0.42629
20,theta,101,-0.187222,-0.504142,0.405394
20,theta,102,-0.019404,-0.15895,0.382485
20,theta,103,-1.49794,-1.171715,0.479935
20,theta,104,-1.901686,-1.95583,0.594519
20,theta,105,-0.239044,-0.87156,0.478249
20,theta,106,1.314489,1.51967,0.509381
20,theta,107,-0.469609,0.025257,0.464767
20,theta,108,1.533055,1.209935,0.485843
20,theta,109,-1.588011,-1.697535,0.511302
20,theta,110,-0.743317,0.086448,0.407885
20,theta,111,0.319566,0.238446,0.423847
20,theta,112,0.906037,1.704265,0.548491
20,theta,113,-0.272356,-0.220707,0.449623
20,theta,114,0.317845,0.343143,0.405026
20,theta,115,0.860441,0.855945,0.480267
20,theta,116,2.075683,2.253275,0.581765
20,theta,117,2.14515,1.78345,0.549726
20,theta,118,-0.026281,0.124483,0.428539
20,theta,119,-0.770073,-0.386538,0.448902
20,theta,120,0.82661,0.776378,0.459264
20,theta,121,0.415943,-0.093145,0.418371
20,theta,122,-1.107419,-1.188705,0.545031
20,theta,123,-1.17978,-1.149925,0.500957
20,theta,124,-0.545513,0.187986,0.38883
20,theta,125,1.119611,1.39228,0.506101
20,theta,126,-0.296141,-0.229486,0.439903
20,theta,127,-1.639931,-0.526653,0.52245
20,theta,128,0.409525,0.257112,0.476925
20,theta,129,-0.528711,-0.480454,0.468715
20,theta,130,0.65029,0.148793,0.386928
20,theta,131,1.118076,1.203205,0.470535
20,theta,132,1.94849,1.59752,0.528808
20,theta,133,-1.35982,-0.952589,0.567748
20,theta,134,0.352087,-0.352388,0.480063
20,theta,135,-0.023293,-0.134095,0.455341
20,theta,136,0.113765,0.371772,0.464523
20,theta,137,-0.030553,0.148566,0.491748
20,theta,138,0.932368,0.503076,0.427304
20,theta,139,-0.616452,-0.08078,0.375477
20,theta,140,1.056765,0.668506,0.457801
20,theta,141,-1.031124,-1.276055,0.607753
20,theta,142,0.706825,0.598426,0.428437
20,theta,143,-1.267066,-1.55897,0.539793
20,theta,144,0.201396,-0.349212,0.472602
20,theta,145,-2.07218,-1.53133,0.594933
20,theta,146,0.137814,0.123734,0.398051
20,theta,147,-1.578204,-0.985266,0.471751
20,theta,148,0.952423,1.36589,0.524737
20,theta,149,0.913201,0.681332,0.468828
20,theta,150,0.981779,0.444432,0.438553
20,theta,151,-0.543495,-0.289651,0.471379
20,theta,152,0.994814,0.933438,0.486632
20,theta,153,-0.248767,-0.243405,0.528801
20,theta,154,-0.640671,-0.848746,0.45828
20,theta,155,0.020357,0.136298,0.414859
20,theta,156,-0.630118,-1.025235,0.535842
20,theta,157,-1.689503,-1.24834,0.55915
20,theta,158,-0.382661,-0.037008,0.429603
20,theta,159,1.573684,1.00159,0.456613
20,theta,160,0.123985,0.513047,0.48744
