seed,param,trial,latent,predicted,stdev
7,theta,1,-0.664438,-0.40094,0.415292
7,theta,2,-0.012171,-0.721166,0.511931
7,theta,3,-0.013491,-0.124918,0.410402
7,theta,4,-0.383668,-1.19809,0.553516
7,theta,5,-0.510665,0.337655,0.412014
7,theta,6,0.767952,0.735344,0.482126
7,theta,7,0.276992,-0.167392,0.411999
7,theta,8,-1.043302,-1.183645,0.497082
7,theta,9,0.054191,0.086098,0.475463
7,theta,10,-0.832027,-1.09502,0.50512
7,theta,11,0.763267,0.620356,0.503583
7,theta,12,1.388672,1.13157,0.504878
7,theta,13,-1.78586,-1.56833,0.594155
7,theta,14,0.793292,1.015145,0.472145
7,theta,15,-0.452812,-0.459588,0.409281
7,theta,16,0.392885,0.787377,0.471639
7,theta,17,1.23916,0.40341,0.394986
7,theta,18,-0.793658,-0.724943,0.445443
7,theta,19,-0.174968,-0.230786,0.402091
7,theta,20,1.798783,1.39772,0.528653
7,theta,21,1.342022,1.145735,0.515693
7,theta,22,1.327228,0.75694,0.462928
7,theta,23,1.534758,1.30502,0.528477
7,theta,24,-0.5443,-1.00061,0.457649
7,theta,25,-0.297279,-0.894043,0.461945
7,theta,26,-0.265735,-0.330788,0.445962
7,theta,27,-0.020036,-0.826621,0.437351
7,theta,28,1.928915,2.09449,0.588482
7,theta,29,-2.101995,-1.11582,0.454342
7,theta,30,0.089809,-0.10371,0.418183
7,theta,31,-0.825808,-1.07609,0.417901
7,theta,32,-1.207501,-1.324715,0.575865
7,theta,33,0.883733,0.958165,0.473884
7,theta,34,-0.028732,-0.342181,0.415612
7,theta,35,2.159697,1.1611,0.46666
7,theta,36,1.540189,0.877167,0.484086
7,theta,37,-0.147156,-0.352299,0.462366
7,theta,38,-1.333233,-1.154595,0.433403
7,theta,39,-0.597889,-0.314258,0.388867
7,theta,40,0.076792,-0.34649,0.441212
7,theta,41,-0.163883,0.010854,0.35219
7,theta,42,-0.548575,-0.529045,0.394838
7,theta,43,-1.197353,-0.858516,0.443475
7,theta,44,0.762243,0.596343,0.402053
7,theta,45,0.796236,0.880366,0.47981
7,theta,46,-0.219946,0.081028,0.309181
7,theta,47,0.103397,0.735511,0.464189
7,theta,48,-1.356791,-1.01687,0.548006
7,theta,49,1.763222,1.66932,0.578444
7,theta,50,0.156561,-0.28349,0.404277
7,theta,51,-1.328688,-0.384611,0.485663
7,theta,52,-0.015504,-0.107929,0.436826
7,theta,53,0.39626,0.780393,0.423601
7,theta,54,1.292029,0.737567,0.442627
7,theta,55,-1.243611,-1.492195,0.526113
7,theta,56,-1.0047,-0.955779,0.503307
7,theta,57,-0.694072,-1.06192,0.498697
7,theta,58,-0.135806,-0.90139,0.508311
7,theta,59,-1.380759,-0.841419,0.467708
7,theta,60,-0.79807,-0.86023,0.457373
7,theta,61,1.600048,1.46651,0.515481
7,theta,62,1.048848,0.54343,0.438065
7,theta,63,-0.074542,-0.988985,0.551259
7,theta,64,0.27921,0.397966,0.408528
7,theta,65,-0.837642,-0.410238,0.444518
7,theta,66,-1.720053,-1.375395,0.542141
7,theta,67,0.093865,-0.536889,0.562431
7,theta,68,0.09948,0.419161,0.459581
7,theta,69,-0.369899,-0.126771,0.468069
7,theta,70,2.046779,0.804366,0.464177
7,theta,71,-1.618201,-1.738865,0.527413
7,theta,72,-0.209251,0.428443,0.462696
7,theta,73,-0.837914,-0.496061,0.518243
7,theta,74,-0.59568,-0.056293,0.479577
7,theta,75,0.742687,0.593759,0.417041
7,theta,76,-2.136516,-1.386405,0.574071
7,theta,77,-1.094622,-1.020705,0.468544
7,theta,78,-0.906929,-0.671499,0.41468
7,theta,79,-0.302298,-0.686033,0.438381
7,theta,80,-0.561645,-0.916654,0.457991
7,theta,81,0.391318,0.51499,0.445516
7,theta,82,-1.387515,-0.222094,0.432352
7,theta,83,0.719282,0.243186,0.368636
7,theta,84,1.110346,1.111095,0.449089
7,theta,85,-1.456902,-0.791484,0.42412
7,theta,86,0.443145,1.295715,0.539138
7,theta,87,-1.176877,-0.904973,0.518732
7,theta,88,0.682101,0.71512,0.445187
7,theta,89,0.062941,-0.466904,0.394866
7,theta,90,0.562909,0.678428,0.457735
7,theta,91,-0.929112,-1.181845,0.509109
7,theta,92,-0.491543,-0.705713,0.531199
7,theta,93,-0.013539,0.537581,0.421846
7,theta,94,-0.281692,-0.856838,0.530682
7,theta,95,1.614255,1.00086,0.48088
