seed,param,trial,latent,predicted,stdev
9,theta,1,0.323837,0.477991,0.519123
9,theta,2,-0.772404,-1.63961,0.508045
9,theta,3,0.643154,0.900638,0.462458
9,theta,4,-0.298065,1.10546,0.540602
9,theta,5,-0.503745,0.086806,0.45406
9,theta,6,-0.851448,-1.36605,0.516412
9,theta,7,0.437091,0.092045,0.424887
9,theta,8,-0.575731,-0.336882,0.457223
9,theta,9,0.383582,0.757788,0.489482
9,theta,10,-1.336949,-0.098531,0.47585
9,theta,11,-0.853284,-0.94303,0.631072
9,theta,12,1.45113,1.458505,0.573184
9,theta,13,-1.108489,-0.737052,0.433596
9,theta,14,-0.456663,-0.377468,0.420248
9,theta,15,1.386891,1.613905,0.54958
9,theta,16,-0.196554,0.450706,0.499955
9,theta,17,0.516592,0.45694,0.437679
9,theta,18,-2.550928,-2.33467,0.573763
9,theta,19,-0.722052,-0.677419,0.440008
9,theta,20,-1.716304,-1.46308,0.619001
9,theta,21,-0.228121,-0.530179,0.413577
9,theta,22,-0.416522,-0.610696,0.447113
9,theta,23,0.311094,0.737527,0.528531
9,theta,24,-0.061274,-0.580952,0.409046
9,theta,25,-0.559594,-0.469367,0.529727
9,theta,26,-1.061739,-1.09304,0.456561
9,theta,27,-0.312999,0.365846,0.451327
9,theta,28,0.391382,1.25488,0.508608
9,theta,29,-0.474167,-0.6671,0.491992
9,theta,30,-0.932456,-0.740368,0.478006
9,theta,31,1.032572,1.279415,0.523461
9,theta,32,2.331248,1.54584,0.523194
9,theta,33,-1.433476,-1.176175,0.491748
9,theta,34,0.187155,-0.270383,0.482164
9,theta,35,0.772988,1.19259,0.551922
9,theta,36,1.159441,1.06641,0.496528
9,theta,37,-0.781127,-0.311322,0.474209
9,theta,38,-0.709123,-0.62025,0.42483
9,theta,39,2.731872,2.01165,0.577128
9,theta,40,0.346801,0.054838,0.432201
9,theta,41,-0.256748,0.512606,0.446272
9,theta,42,-0.333979,0.233036,0.449098
9,theta,43,0.903566,0.871639,0.449836
9,theta,44,0.861142,0.227237,0.457435
9,theta,45,0.379317,0.148427,0.483604
9,theta,46,1.712102,0.944805,0.504133
9,theta,47,0.689952,0.051356,0.55855
9,theta,48,0.54853,0.395251,0.467954
