seed,param,trial,latent,predicted,stdev
22,theta,1,0.572452,1.44473,0.620405
22,theta,2,0.12473,0.059352,0.560721
22,theta,3,-0.290264,-0.590838,0.61654
22,theta,4,-0.555262,-0.391094,0.589206
22,theta,5,-0.379447,-0.596162,0.541065
22,theta,6,0.669679,0.607414,0.612238
22,theta,7,-0.771065,-0.596254,0.564448
22,theta,8,-0.425614,-0.587882,0.566543
22,theta,9,-1.82213,-1.061785,0.607846
22,theta,10,1.298472,1.02523,0.620372
22,theta,11,0.617165,1.26292,0.595005
22,theta,12,-0.898536,-0.955554,0.614916
22,theta,13,-0.710842,-0.502114,0.585902
22,theta,14,-1.489209,-1.145345,0.621745
22,theta,15,2.265461,1.49076,0.635824
22,theta,16,-1.880349,-0.813457,0.650036
22,theta,17,0.834376,0.736798,0.583132
22,theta,18,-0.053756,-0.22295,0.58568
22,theta,19,0.972489,0.82254,0.56633
22,theta,20,-1.386538,-0.569174,0.601479
22,theta,21,-2.219035,-1.80473,0.634681
22,theta,22,0.417018,0.087847,0.563129
22,theta,23,-0.572135,-0.55041,0.569183
22,theta,24,1.296592,0.670365,0.533902
22,theta,25,1.774016,1.316385,0.632708
22,theta,26,-1.116804,-1.47909,0.588772
22,theta,27,-0.839454,0.160581,0.53746
22,theta,28,0.638969,0.350159,0.5722
22,theta,29,0.059356,0.725413,0.559011
22,theta,30,-1.733694,-0.546938,0.571242
22,theta,31,-0.83988,-1.274625,0.596785
22,theta,32,-1.899946,-1.104825,0.595175
22,theta,33,0.232931,0.326001,0.59804
22,theta,34,0.759386,0.346115,0.560826
22,theta,35,1.03584,0.725668,0.546472
22,theta,36,-1.69947,-1.135345,0.602811
22,theta,37,1.543928,1.315005,0.582587
22,theta,38,0.404054,0.315752,0.580025
22,theta,39,-0.343975,-0.196761,0.589618
22,theta,40,1.400637,1.29318,0.60366
22,theta,41,0.815972,0.437194,0.544641
22,theta,42,-0.013119,0.158326,0.622691
22,theta,43,0.530229,0.025016,0.593216
22,theta,44,-0.179136,0.02099,0.537841
22,theta,45,-1.372439,-1.575125,0.568231
22,theta,46,0.986543,0.787637,0.61647
22,theta,47,0.346975,0.971733,0.686875
22,theta,48,0.074206,-0.053012,0.56439
22,theta,49,0.522987,0.143498,0.568818
22,theta,50,-0.967616,-1.457605,0.636279
22,theta,51,-0.981997,1.00371,0.573918
22,theta,52,0.181482,-0.449238,0.607253
22,theta,53,1.172504,0.159566,0.545851
22,theta,54,0.144584,0.606795,0.564164
22,theta,55,-0.296841,-0.529349,0.592011
22,theta,56,-0.184209,-1.00879,0.589037
22,theta,57,0.486794,0.546198,0.587872
22,theta,58,-0.86728,-0.778965,0.648664
22,theta,59,0.641027,0.563866,0.585268
22,theta,60,-0.302178,-0.312635,0.558834
22,theta,61,0.401022,0.71831,0.58388
22,theta,62,0.962347,0.445806,0.596698
22,theta,63,-0.463386,-0.765806,0.603029
22,theta,64,-0.500204,-0.329756,0.563708
22,theta,65,0.384443,0.011293,0.549051
22,theta,66,-0.300594,-0.082301,0.552587
22,theta,67,-0.915029,-0.991901,0.658612
22,theta,68,0.48306,0.339484,0.535782
22,theta,69,0.955296,1.019915,0.585214
22,theta,70,0.573886,1.183105,0.580421
22,theta,71,0.991673,0.038385,0.564385
22,theta,72,-1.34471,-1.7904,0.613915
22,theta,73,-1.578205,-0.949256,0.634704
22,theta,74,-0.226116,0.524796,0.594596
22,theta,75,-0.14129,-0.207635,0.536452
22,theta,76,-0.308895,-0.295702,0.475185
22,theta,77,-0.604863,-1.096155,0.649717
22,theta,78,1.541581,1.305145,0.643602
22,theta,79,0.909682,1.017505,0.549027
22,theta,80,0.125124,-0.015792,0.580283
22,theta,81,-0.931781,-0.896946,0.594134
22,theta,82,1.055632,0.791932,0.589755
22,theta,83,-0.265109,0.257632,0.529885
22,theta,84,-1.0582,-0.905324,0.657095
22,theta,85,-1.125581,-1.13232,0.684235
22,theta,86,1.255055,0.862509,0.600689
22,theta,87,1.123732,0.124548,0.638623
22,theta,88,-0.241549,-0.575281,0.590363
22,theta,89,1.826986,1.26756,0.615019
22,theta,90,0.161445,-0.208338,0.65351
22,theta,91,-0.926009,-0.774142,0.637677
22,theta,92,-1.633721,-1.155365,0.59497
22,theta,93,-0.726302,-0.172365,0.597924
22,theta,94,-0.27883,0.105374,0.59793
22,theta,95,-1.009302,-0.52909,0.550397
22,theta,96,0.420223,0.796322,0.596173
22,theta,97,0.914881,0.585672,0.550292
22,theta,98,0.84326,0.45595,0.549747
22,theta,99,-0.569154,-0.471232,0.609862
22,theta,100,-0.176409,-0.666721,0.572288
22,theta,101,0.488289,0.063849,0.540812
22,theta,102,1.177177,1.359235,0.569015
22,theta,103,-0.060812,0.181518,0.590388
22,theta,104,1.328799,1.547855,0.666014
22,theta,105,1.314604,0.780552,0.568953
22,theta,106,-1.006478,-0.490188,0.586681
22,theta,107,-0.227916,0.097676,0.570494
22,theta,108,-0.681428,-1.191325,0.62867
22,theta,109,-0.462784,-1.22265,0.62808
22,theta,110,3.01825,1.26236,0.604526
22,theta,111,0.995519,1.590345,0.637948
22,theta,112,-0.116405,-0.055195,0.534461
22,theta,113,-0.812707,-0.878265,0.606827
22,theta,114,0.205346,0.36006,0.589367
22,theta,115,1.53243,1.415605,0.628508
22,theta,116,0.629518,0.140048,0.548671
22,theta,117,-1.364983,-0.989493,0.637505
22,theta,118,0.465579,0.469287,0.548332
22,theta,119,0.120669,0.529248,0.548937
22,theta,120,0.011798,0.16749,0.539718
22,theta,121,0.322644,-0.014634,0.516838
22,theta,122,-0.286942,0.130182,0.569426
22,theta,123,-0.271599,-0.646278,0.629015
22,theta,124,-1.180012,-0.846803,0.594523
22,theta,125,2.418493,1.544605,0.68524
22,theta,126,-0.050475,-0.450147,0.605568
22,theta,127,0.406032,0.39758,0.575517
22,theta,128,-0.481583,0.373902,0.634384
22,theta,129,1.149094,1.45686,0.620515
22,theta,130,-0.242167,-0.420524,0.666195
22,theta,131,0.657997,0.915034,0.566503
22,theta,132,-0.369509,-0.307342,0.535486
22,theta,133,-0.218211,-0.121321,0.58908
22,theta,134,-0.305032,-0.657264,0.602217
22,theta,135,1.136237,1.37581,0.659444
22,theta,136,-0.246099,-0.178768,0.585426
22,theta,137,-1.045629,-0.686308,0.615657
22,theta,138,-0.080813,0.296028,0.591798
22,theta,139,1.260663,1.08663,0.611308
22,theta,140,1.377299,1.236885,0.621669
22,theta,141,0.185784,0.10246,0.555515
22,theta,142,-1.127029,-1.045895,0.648538
22,theta,143,-1.598269,-1.19814,0.617413
22,theta,144,0.059459,-0.121302,0.520765
22,theta,145,-0.342143,-0.354773,0.626911
22,theta,146,0.891043,1.058245,0.629482
22,theta,147,0.735709,0.642843,0.577694
22,theta,148,0.064539,0.35665,0.558731
22,theta,149,-0.470554,-0.701598,0.612597
22,theta,150,-0.662166,-0.529887,0.661447
22,theta,151,1.801016,1.47031,0.630873
22,theta,152,-0.332992,-0.061311,0.603204
22,theta,153,0.269827,0.739356,0.578102
22,theta,154,0.538348,0.284648,0.614658
22,theta,155,-0.639044,-0.148802,0.642428
22,theta,156,1.063005,1.36167,0.61101
22,theta,157,1.049317,1.046995,0.605005
22,theta,158,-0.472169,-0.33846,0.582321
22,theta,159,-1.311386,-0.51772,0.597104
22,theta,160,0.621798,1.45255,0.607012
22,theta,161,-0.367282,-0.757708,0.587905
22,theta,162,1.006002,0.011046,0.61947
22,theta,163,-0.898226,-0.507594,0.6383
22,theta,164,-0.327423,-1.10527,0.641709
22,theta,165,0.700682,0.576158,0.656899
22,theta,166,0.842258,1.033555,0.595288
22,theta,167,-0.669113,-1.128435,0.629976
22,theta,168,2.368182,1.341695,0.653239
22,theta,169,-0.901898,-0.624809,0.594146
22,theta,170,0.710486,0.810553,0.593794
22,theta,171,0.512635,0.181455,0.551079
22,theta,172,0.58601,-0.173179,0.640289
22,theta,173,-0.668539,-0.145232,0.561877
22,theta,174,0.041103,-0.446444,0.55848
22,theta,175,0.19418,1.24874,0.645842
22,theta,176,0.184465,-0.152182,0.662541
22,theta,177,-1.08774,-0.632728,0.562812
22,theta,178,3.668496,1.6095,0.660834
22,theta,179,0.155941,1.05639,0.626661
22,theta,180,1.443497,1.343725,0.65667
22,theta,181,-1.000709,-1.312935,0.617277
22,theta,182,-0.66816,-0.400057,0.569636
22,theta,183,1.014792,1.156845,0.592186
22,theta,184,1.735921,1.079225,0.620777
