seed,param,trial,latent,predicted,stdev
57,theta,1,-0.089522,0.369872,0.407701
57,theta,2,0.16142,0.39534,0.385487
57,theta,3,-1.126827,-1.47418,0.552745
57,theta,4,-2.609624,-1.458095,0.626143
57,theta,5,-0.345796,0.369078,0.40857
57,theta,6,-0.426574,-0.255629,0.42477
57,theta,7,1.017899,0.43778,0.39464
57,theta,8,0.930774,0.19843,0.370016
57,theta,9,-0.083444,0.386794,0.398742
57,theta,10,-0.123856,-0.497445,0.51294
57,theta,11,1.383784,1.591335,0.538665
57,theta,12,0.621042,0.654507,0.429381
57,theta,13,0.7331,0.469717,0.42459
57,theta,14,0.457353,-0.075317,0.460882
57,theta,15,-0.641755,-0.03087,0.477666
57,theta,16,-1.77281,-1.7335,0.612281
57,theta,17,0.798846,1.472845,0.533116
57,theta,18,-0.642914,-0.812761,0.465026
57,theta,19,0.195359,-0.418684,0.425541
57,theta,20,-0.75322,-0.161642,0.446996
57,theta,21,-0.230308,0.043715,0.414664
57,theta,22,-0.728533,-0.500501,0.585834
57,theta,23,-0.728459,-1.1576,0.498818
57,theta,24,-0.201667,-0.082803,0.438546
57,theta,25,0.052936,0.451971,0.414276
57,theta,26,1.720101,1.43682,0.503294
57,theta,27,0.118856,-0.118039,0.455752
57,theta,28,0.10374,-0.297934,0.423728
57,theta,29,-0.064918,-0.3371,0.432609
57,theta,30,1.801359,1.468455,0.508939
57,theta,31,-0.409835,-1.1202,0.551476
57,theta,32,1.135498,1.05755,0.48884
57,theta,33,-1.652617,-1.601695,0.483333
57,theta,34,1.19282,1.170255,0.508234
57,theta,35,-0.543366,-0.024591,0.457284
57,theta,36,0.356035,0.08731,0.410267
57,theta,37,-0.029216,-0.152882,0.421454
57,theta,38,0.724937,0.425675,0.481833
57,theta,39,2.155223,1.75698,0.543625
57,theta,40,0.771191,0.639428,0.443819
57,theta,41,-0.281359,0.274862,0.422982
57,theta,42,0.643556,0.549954,0.489429
57,theta,43,-0.279948,0.059645,0.426043
57,theta,44,1.872851,1.38097,0.500492
57,theta,45,1.093297,0.748348,0.433627
57,theta,46,0.380541,-0.038388,0.47673
57,theta,47,2.502791,1.832895,0.558263
57,theta,48,0.648277,0.661884,0.427874
57,theta,49,0.000351,0.130186,0.453243
57,theta,50,0.687371,0.986674,0.452697
57,theta,51,2.968579,1.854125,0.560817
57,theta,52,-2.520824,-2.149415,0.64546
57,theta,53,-0.335072,-0.570838,0.446909
57,theta,54,-2.509529,-1.234575,0.531373
57,theta,55,0.168591,-0.049828,0.404097
57,theta,56,0.203012,-0.055676,0.45171
57,theta,57,-0.732726,-0.459732,0.468597
57,theta,58,-0.364927,-0.748449,0.51289
57,theta,59,0.484418,0.663681,0.431888
57,theta,60,0.044903,-0.085927,0.372683
57,theta,61,0.520309,-0.467182,0.530431
57,theta,62,-0.496955,-0.243578,0.42696
57,theta,63,0.088076,0.42738,0.404015
57,theta,64,-0.923307,-0.512163,0.476546
57,theta,65,0.728164,0.349682,0.43543
57,theta,66,0.439641,-0.108392,0.438226
57,theta,67,-0.030695,-0.048507,0.423877
57,theta,68,-0.099864,0.21546,0.433195
57,theta,69,-0.131444,-0.269505,0.470215
57,theta,70,-0.31479,-0.740502,0.485702
57,theta,71,-0.868699,-0.784237,0.419189
57,theta,72,1.935077,1.386665,0.498308
57,theta,73,0.965681,0.369252,0.437482
57,theta,74,2.546474,1.521115,0.531542
57,theta,75,0.082181,0.41745,0.439197
57,theta,76,-0.098609,-0.101746,0.429713
57,theta,77,-1.181781,-1.10215,0.584823
57,theta,78,0.641087,0.451533,0.453477
57,theta,79,0.017242,-0.290136,0.436574
