seed,param,trial,latent,predicted,stdev
87,theta,1,-0.28768,0.243693,0.420628
87,theta,2,-0.889382,-0.037732,0.52222
87,theta,3,0.245034,0.451968,0.404213
87,theta,4,0.573229,-0.226184,0.480526
87,theta,5,-0.723962,-0.88733,0.475794
87,theta,6,-0.235548,-0.330537,0.451153
87,theta,7,-0.455507,-0.411222,0.394038
87,theta,8,0.816403,0.880682,0.451213
87,theta,9,0.89114,0.857871,0.464004
87,theta,10,-1.164157,-0.299613,0.409195
87,theta,11,1.299136,0.977679,0.454712
87,theta,12,-0.39493,-1.31595,0.501352
87,theta,13,0.268337,0.523826,0.474559
87,theta,14,-0.109227,-0.362164,0.504316
87,theta,15,-1.587443,-1.14803,0.547005
87,theta,16,-0.236709,-0.585826,0.563971
87,theta,17,0.430546,-0.021765,0.446749
87,theta,18,0.032975,-0.091463,0.386296
87,theta,19,1.078695,1.14372,0.508909
87,theta,20,0.595242,0.207978,0.420479
87,theta,21,-1.689282,-0.923156,0.462503
87,theta,22,0.955061,0.389756,0.422614
87,theta,23,0.011431,-0.232194,0.418015
87,theta,24,-3.038787,-1.069245,0.593202
87,theta,25,-0.016362,-0.311428,0.46278
87,theta,26,0.177966,0.110586,0.457975
87,theta,27,-0.959788,-0.702211,0.4603
87,theta,28,-0.826912,-0.73958,0.478415
87,theta,29,2.286078,1.92526,0.540037
87,theta,30,0.97319,0.493732,0.44918
87,theta,31,1.132513,0.771526,0.475314
87,theta,32,-0.124003,-0.54259,0.490095
87,theta,33,0.456778,0.510564,0.380649
87,theta,34,-0.335314,-0.170542,0.435874
87,theta,35,1.454804,1.3728,0.510346
87,theta,36,1.115302,1.38152,0.534657
87,theta,37,1.440187,1.11917,0.485152
87,theta,38,-0.599546,-0.480427,0.376099
87,theta,39,-0.107718,0.122698,0.404457
87,theta,40,0.43813,-0.26788,0.461358
87,theta,41,0.898369,0.653558,0.447488
87,theta,42,0.116015,-0.629322,0.540198
87,theta,43,-2.4408,-1.716505,0.561561
87,theta,44,0.86805,0.368032,0.459249
87,theta,45,2.154989,1.912935,0.557374
87,theta,46,-2.085815,-1.10927,0.473868
87,theta,47,0.430681,0.706961,0.457351
87,theta,48,-0.192216,-0.052788,0.472857
87,theta,49,-0.435088,-0.051766,0.422938
87,theta,50,0.533271,0.800496,0.446904
87,theta,51,0.352107,0.010061,0.45431
87,theta,52,0.685998,0.228347,0.475736
87,theta,53,0.457289,0.208261,0.430354
87,theta,54,-0.875002,-0.217384,0.453194
87,theta,55,0.39903,0.463937,0.453388
87,theta,56,-1.285351,-1.157105,0.507615
87,theta,57,0.064363,-0.353619,0.484338
87,theta,58,0.841829,0.87806,0.433672
87,theta,59,-1.371694,-0.657026,0.469138
87,theta,60,-0.492849,-0.755224,0.528492
87,theta,61,2.478745,1.02171,0.469798
87,theta,62,-0.259478,-0.411068,0.362934
87,theta,63,0.313533,1.0288,0.444602
87,theta,64,1.446265,1.521,0.527204
87,theta,65,-1.559842,-1.185875,0.520975
87,theta,66,-0.035079,0.421008,0.464958
87,theta,67,-0.5762,-0.124302,0.516496
87,theta,68,1.170665,0.405428,0.475679
87,theta,69,1.021274,1.29667,0.498175
