subject,trial,item,dimension,test_form,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
01b653iwjusnxf359qk7596t,1,22,2,1,pd,0.0,1.0,0.8305,0.8234125712650595,0.009414635501841748,0.08792375953551272,-0.20373001519180534,-8.405940331225644,0.06220614747712662,0.16444151143321956
01b653iwjusnxf359qk7596t,2,28,2,2,md,0.0,1.0,0.5716,0.5738218280355224,0.051244449967954894,0.08792375953551272,-0.6068357113918594,-8.405940331225644,0.11915192666698483,0.16444151143321956
01b653iwjusnxf359qk7596t,3,70,2,2,md,0.0,1.0,0.8411,0.8468930519287095,0.007681675896505827,0.08792375953551272,-0.1738782091762765,-8.405940331225644,0.1459806185326215,0.16444151143321956
01b653iwjusnxf359qk7596t,4,51,2,1,pd,0.0,1.0,0.8672,0.8678859731490489,0.005393395275968944,0.08792375953551272,-0.14709537937327966,-8.405940331225644,0.02368100462483197,0.16444151143321956
01b653iwjusnxf359qk7596t,5,11,3,1,pd,3.0,0.0,0.6318,0.37367928423696656,0.10923752854926033,0.08792375953551272,-1.0937966489093274,-8.405940331225644,0.12887802457729214,0.16444151143321956
01b653iwjusnxf359qk7596t,6,31,3,2,md,1.0,0.0,0.5468,0.45693291218133025,0.08357668460174951,0.08792375953551272,-0.8670414196972587,-8.405940331225644,0.07156735381837104,0.16444151143321956
01b653iwjusnxf359qk7596t,7,17,4,2,md,2.0,0.0,0.424,0.5749503263610484,0.05166275175373946,0.08792375953551272,-0.6052948725631744,-8.405940331225644,-0.014346629921150447,0.16444151143321956
01b653iwjusnxf359qk7596t,8,62,3,1,pd,0.0,1.0,0.9516,0.9477807106285226,0.001004615928821094,0.08792375953551272,-0.054637145636007745,-8.405940331225644,0.1192920348071116,0.16444151143321956
01b653iwjusnxf359qk7596t,9,42,4,1,pd,1.0,0.0,0.5954,0.40298809103241945,0.10040712652700756,0.08792375953551272,-1.0095191277668434,-8.405940331225644,0.01736746474702015,0.16444151143321956
01b653iwjusnxf359qk7596t,10,60,4,2,md,0.0,1.0,0.4114,0.4150574760311911,0.09408375538130856,0.08792375953551272,-0.9736131923274645,-8.405940331225644,0.10062817303276439,0.16444151143321956
01b653iwjusnxf359qk7596t,11,52,5,1,pd,0.0,1.0,0.5386,0.5350925045343452,0.0590051353513695,0.08792375953551272,-0.6844573623069348,-8.405940331225644,0.05138233100782225,0.16444151143321956
01b653iwjusnxf359qk7596t,12,63,5,2,md,3.0,0.0,0.2261,0.7670487749184548,0.016004917897953122,0.08792375953551272,-0.2812496475577859,-8.405940331225644,0.040359038052629435,0.16444151143321956
01b653iwjusnxf359qk7596t,13,46,6,1,pd,0.0,1.0,0.5763,0.5736916578150422,0.05124969236477514,0.08792375953551272,-0.6070231618755848,-8.405940331225644,-0.07468143122826656,0.16444151143321956
01b653iwjusnxf359qk7596t,14,54,6,2,md,3.0,0.0,0.2476,0.7472888769156907,0.018756771797943963,0.08792375953551272,-0.3101142486193229,-8.405940331225644,0.06382800572130894,0.16444151143321956
01b653iwjusnxf359qk7596t,15,78,7,2,md,3.0,0.0,0.3191,0.6804469700381272,0.02926799865944821,0.08792375953551272,-0.4143786416344657,-8.405940331225644,0.03389518885167389,0.16444151143321956
01b653iwjusnxf359qk7596t,16,30,7,1,pd,0.0,1.0,0.7521,0.752902066990628,0.017588891800812304,0.08792375953551272,-0.30145215655240065,-8.405940331225644,0.053067536227625015,0.16444151143321956
