name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[175]	0.861	0.00328	0.537	0.0099	0.846	1.76	26793.0	67.7	1.0
theta[176]	0.976	0.00364	0.579	0.0521	0.959	1.95	25359.0	64.1	1.0
theta[177]	-0.86	0.00301	0.499	-1.68	-0.86	-0.0471	27494.0	69.4	1.0
theta[178]	-0.139	0.00325	0.526	-1.01	-0.147	0.737	26216.0	66.2	1.0
theta[179]	-1.21	0.00314	0.499	-2.05	-1.21	-0.397	25192.0	63.6	1.0
theta[180]	0.736	0.00371	0.574	-0.192	0.721	1.7	23959.0	60.5	1.0
theta[181]	-0.569	0.00321	0.509	-1.4	-0.572	0.264	25117.0	63.4	1.0
theta[182]	-0.876	0.00315	0.493	-1.69	-0.881	-0.0568	24582.0	62.1	1.0
theta[183]	1.07	0.00437	0.641	0.0664	1.05	2.16	21537.0	54.4	1.0
theta[184]	0.911	0.0038	0.582	-0.00808	0.893	1.9	23469.0	59.3	1.0
theta[185]	-0.08	0.0032	0.488	-0.875	-0.0904	0.743	23298.0	58.9	1.0
theta[186]	0.822	0.00367	0.56	-0.0891	0.809	1.77	23335.0	58.9	1.0
theta[187]	0.187	0.00343	0.527	-0.658	0.174	1.08	23583.0	59.6	1.0
theta[188]	0.726	0.00374	0.544	-0.133	0.71	1.65	21186.0	53.5	1.0
theta[189]	-0.187	0.00309	0.479	-0.984	-0.185	0.607	23967.0	60.5	1.0
theta[190]	-1.5	0.00317	0.497	-2.34	-1.48	-0.695	24571.0	62.1	1.0
theta[191]	0.325	0.00359	0.561	-0.565	0.308	1.27	24480.0	61.8	1.0
theta[192]	0.721	0.00353	0.537	-0.137	0.707	1.62	23178.0	58.5	1.0
theta[193]	1.41	0.00411	0.604	0.454	1.38	2.43	21619.0	54.6	1.0
theta[194]	-0.0654	0.00337	0.519	-0.913	-0.074	0.813	23719.0	59.9	1.0
theta[195]	-0.611	0.00313	0.496	-1.42	-0.614	0.218	25071.0	63.3	1.0
theta[196]	1.28	0.0041	0.617	0.298	1.26	2.33	22648.0	57.2	1.0
theta[197]	-0.0436	0.00336	0.523	-0.88	-0.0553	0.831	24231.0	61.2	1.0
theta[198]	0.323	0.00363	0.533	-0.536	0.317	1.22	21614.0	54.6	1.0
theta[199]	1.06	0.00382	0.581	0.138	1.04	2.03	23194.0	58.6	1.0
theta[200]	-0.307	0.00302	0.481	-1.1	-0.311	0.494	25355.0	64.0	1.0
theta[201]	-0.133	0.00317	0.522	-0.971	-0.145	0.733	27204.0	68.7	1.0
theta[202]	1.7	0.00428	0.646	0.682	1.68	2.81	22806.0	57.6	1.0
theta[203]	0.661	0.00338	0.541	-0.199	0.647	1.59	25552.0	64.5	1.0
theta[204]	-0.137	0.00338	0.499	-0.941	-0.14	0.694	21754.0	55.0	1.0
theta[205]	-0.521	0.00312	0.503	-1.33	-0.522	0.314	26010.0	65.7	1.0
theta[206]	-1.69	0.0031	0.493	-2.51	-1.68	-0.887	25283.0	63.9	1.0
theta[207]	-1.01	0.0032	0.49	-1.81	-1.01	-0.216	23524.0	59.4	1.0
theta[208]	0.679	0.00372	0.554	-0.206	0.663	1.62	22118.0	55.9	1.0
theta[209]	0.933	0.00376	0.57	0.023	0.912	1.91	22938.0	57.9	1.0
theta[210]	0.224	0.00317	0.504	-0.586	0.217	1.07	25295.0	63.9	1.0
theta[211]	-0.702	0.00328	0.516	-1.55	-0.705	0.15	24679.0	62.3	1.0
theta[212]	-0.89	0.00322	0.503	-1.73	-0.885	-0.0681	24364.0	61.5	1.0
theta[213]	0.247	0.00322	0.497	-0.545	0.233	1.07	23829.0	60.2	1.0
theta[214]	-0.0579	0.00334	0.523	-0.915	-0.0596	0.821	24526.0	62.0	1.0
theta[215]	0.276	0.0033	0.554	-0.616	0.266	1.2	28188.0	71.2	1.0
theta[216]	0.872	0.00369	0.579	-0.0481	0.857	1.84	24589.0	62.1	1.0
theta[217]	0.626	0.00355	0.556	-0.26	0.61	1.56	24453.0	61.8	1.0
theta[218]	1.37	0.00414	0.609	0.407	1.34	2.4	21585.0	54.5	1.0
theta[219]	-0.0535	0.00349	0.542	-0.929	-0.0677	0.848	24012.0	60.7	1.0
theta[220]	0.355	0.00334	0.534	-0.516	0.35	1.23	25572.0	64.6	1.0
theta[221]	-0.262	0.00309	0.499	-1.08	-0.264	0.544	26108.0	65.9	1.0
theta[222]	-0.281	0.00297	0.493	-1.08	-0.287	0.537	27434.0	69.3	1.0
theta[223]	1.12	0.00391	0.576	0.198	1.11	2.09	21743.0	54.9	1.0
theta[224]	0.269	0.0033	0.51	-0.56	0.263	1.12	23841.0	60.2	1.0
theta[225]	-0.693	0.00316	0.493	-1.49	-0.695	0.105	24339.0	61.5	1.0
theta[226]	-0.271	0.00306	0.494	-1.08	-0.276	0.542	26021.0	65.7	1.0
theta[227]	0.687	0.00334	0.537	-0.177	0.678	1.59	25849.0	65.3	1.0
theta[228]	0.414	0.00326	0.532	-0.429	0.403	1.31	26579.0	67.1	1.0
theta[229]	0.877	0.00378	0.577	-0.0417	0.856	1.85	23249.0	58.7	1.0
theta[230]	0.232	0.0036	0.541	-0.647	0.223	1.14	22571.0	57.0	1.0
theta[231]	-2.19	0.00353	0.534	-3.08	-2.18	-1.34	22823.0	57.7	1.0
theta[232]	-1.19	0.00324	0.502	-2.02	-1.18	-0.358	23943.0	60.5	1.0
theta[233]	0.265	0.00304	0.513	-0.549	0.257	1.11	28436.0	71.8	1.0
theta[234]	-0.433	0.00314	0.492	-1.23	-0.432	0.356	24480.0	61.8	1.0
theta[235]	0.929	0.00383	0.59	0.00374	0.914	1.93	23791.0	60.1	1.0
theta[236]	0.887	0.00344	0.557	-0.0072	0.869	1.84	26162.0	66.1	1.0
theta[237]	0.175	0.00316	0.509	-0.648	0.167	1.02	25938.0	65.5	1.0
theta[238]	0.377	0.00315	0.511	-0.452	0.365	1.23	26303.0	66.4	1.0
theta[239]	-1.35	0.00318	0.511	-2.19	-1.34	-0.517	25874.0	65.4	1.0
theta[240]	-0.119	0.00304	0.493	-0.912	-0.12	0.685	26208.0	66.2	1.0
theta[241]	-0.769	0.00324	0.5	-1.6	-0.763	0.0513	23796.0	60.1	1.0
theta[242]	0.684	0.00399	0.609	-0.305	0.669	1.73	23313.0	58.9	1.0
theta[243]	-0.518	0.00309	0.491	-1.32	-0.515	0.289	25246.0	63.8	1.0
theta[244]	-0.595	0.00325	0.496	-1.41	-0.601	0.229	23343.0	59.0	1.0
theta[245]	0.805	0.00335	0.541	-0.0609	0.791	1.73	26100.0	65.9	1.0
theta[246]	-1.55	0.00355	0.529	-2.43	-1.55	-0.692	22275.0	56.3	1.0
theta[247]	-0.68	0.00302	0.478	-1.45	-0.678	0.106	25018.0	63.2	1.0
theta[248]	0.171	0.00327	0.528	-0.68	0.162	1.06	26000.0	65.7	1.0
theta[249]	0.78	0.00374	0.552	-0.101	0.768	1.71	21699.0	54.8	1.0
theta[250]	-0.218	0.00304	0.498	-1.04	-0.226	0.618	26874.0	67.9	1.0
theta[251]	0.201	0.00324	0.536	-0.674	0.202	1.09	27386.0	69.2	1.0
theta[252]	-0.231	0.00321	0.506	-1.07	-0.23	0.603	24880.0	62.8	1.0
theta[253]	1.74	0.00424	0.654	0.718	1.71	2.87	23729.0	59.9	1.0
theta[254]	1.06	0.00375	0.571	0.143	1.04	2.02	23187.0	58.6	1.0
theta[255]	-1.24	0.00344	0.543	-2.14	-1.23	-0.363	24868.0	62.8	1.0
theta[256]	0.00455	0.00325	0.498	-0.796	0.00621	0.83	23579.0	59.6	1.0
theta[257]	1.01	0.00358	0.565	0.119	0.99	1.95	24919.0	62.9	1.0
theta[258]	-0.57	0.00301	0.493	-1.38	-0.574	0.242	26826.0	67.8	1.0
