intercept,n_features,n_rules,distractor,rt
1,4,2,0.5,-0.603179
1,4,2,0.5,-0.232016
1,4,2,-0.5,0.215441
1,4,2,-0.5,-0.665075
1,4,2,-0.5,-0.135582
1,1,2,0.5,-1.960547
1,1,2,0.5,-1.399783
1,1,2,0.5,-0.718005
1,1,2,-0.5,-1.021498
1,1,2,-0.5,0.109617
1,1,2,-0.5,-0.353908
1,1,2,0.5,-0.234182
1,1,2,0.5,-0.561831
1,1,2,0.5,0.200222
1,1,2,-0.5,-0.210198
1,1,2,-0.5,0.055461
1,1,2,-0.5,0.511286
1,2,2,0.5,-0.724414
1,2,2,0.5,-0.635881
1,2,2,0.5,-0.281264
1,2,2,-0.5,-0.609072
1,2,2,-0.5,0.805973
1,2,2,-0.5,0.064141
1,2,5,0.5,-0.003867
1,2,5,0.5,0.629591
1,2,5,0.5,0.56781
1,2,5,-0.5,0.794445
1,2,5,-0.5,-0.110821
1,2,5,-0.5,0.689786
1,4,4,0.5,0.22652
1,4,4,0.5,-0.291146
1,4,4,0.5,0.760815
1,4,4,-0.5,0.326991
1,4,4,-0.5,-0.563394
1,4,4,-0.5,0.534115
1,2,5,0.5,0.945141
1,2,5,0.5,-0.284092
1,2,5,0.5,0.284229
1,2,5,-0.5,-0.200933
1,2,5,-0.5,0.473694
1,2,5,-0.5,0.172626
1,2,5,0.5,0.206835
1,2,5,0.5,1.39435
1,2,5,0.5,-0.380615
1,2,5,-0.5,-1.298513
1,2,5,-0.5,-0.499005
1,2,5,-0.5,-0.037619
1,1,3,0.5,1.282208
1,1,3,0.5,1.895755
1,1,3,0.5,1.532234
1,1,3,-0.5,1.519412
1,1,3,-0.5,1.526985
1,1,3,-0.5,1.188801
1,1,3,0.5,0.345525
1,1,3,0.5,0.669502
1,1,3,0.5,0.096266
1,1,3,-0.5,-0.454806
1,1,3,-0.5,0.639987
1,1,3,-0.5,0.720241
1,2,5,0.5,0.354056
1,2,5,0.5,-0.100546
1,2,5,0.5,0.930277
1,2,5,-0.5,0.681138
1,2,5,-0.5,0.072186
1,2,5,-0.5,0.89252
1,3,3,0.5,1.492494
1,3,3,0.5,0.527375
1,3,3,0.5,0.434517
1,3,3,-0.5,1.764708
1,3,3,-0.5,1.948537
1,3,3,-0.5,1.1217
1,4,2,0.5,-0.386529
1,4,2,0.5,-1.037542
1,4,2,0.5,-1.066886
1,4,2,-0.5,0.296894
1,4,2,-0.5,-1.221384
1,4,2,-0.5,-0.274532
1,3,1,0.5,-1.744852
1,3,1,0.5,-1.455388
1,3,1,0.5,-1.746767
1,3,1,-0.5,-1.364073
1,3,1,-0.5,-1.206027
1,3,1,-0.5,-0.983066
1,3,4,0.5,0.752322
1,3,4,0.5,0.521414
1,3,4,0.5,-0.940021
1,3,4,-0.5,0.334635
1,3,4,-0.5,1.125885
1,3,4,-0.5,0.643258
1,3,4,0.5,-0.202471
1,3,4,0.5,0.885092
1,3,4,0.5,0.842644
1,3,4,-0.5,-0.552984
1,3,4,-0.5,0.347586
1,3,4,-0.5,-0.559728
1,2,2,0.5,-1.779972
1,2,2,0.5,-1.125689
1,2,2,0.5,-0.379347
1,2,2,-0.5,-1.075862
1,2,2,-0.5,-0.362804
1,2,2,-0.5,-0.304971
1,3,6,0.5,-0.431216
1,3,6,0.5,-0.936534
1,3,6,0.5,-1.165883
1,3,6,-0.5,-1.335833
1,3,6,-0.5,-1.335399
1,3,6,-0.5,-1.271394
1,2,4,0.5,0.429617
1,2,4,0.5,0.598282
1,2,4,0.5,-0.121092
1,2,4,-0.5,-0.371654
