age,gender,rt_0,rt_1
23.0,1,-0.10962485655417868,0.4793571379681726
30.0,1,-0.1403052588828099,0.48849341698167564
22.0,1,-0.1243695742813152,0.05809300477240236
27.0,0,-1.2279335789118826,0.20137383834219746
20.0,1,-0.4855116245081071,0.03488311623865623
26.0,1,0.03249740994972218,0.47330930389118697
19.0,1,0.5514437217689797,0.3911058499504449
24.0,1,0.42970733838528247,0.4185391359956956
24.0,1,-0.26411682829061917,0.3799446347927829
54.0,1,-1.1750425967701439,0.3579626938293629
24.0,1,0.2137341680020045,0.3380804671845427
30.0,1,0.3050783623983238,0.5450832088694533
31.0,1,-0.27268001688283555,-0.0890764996695933
28.747994652406415,-1,0.6469324569513383,-0.03240642147984016
27.0,1,0.026518452018468502,0.8701431413828161
34.0,1,-0.9278049358238575,0.10346817896567934
22.0,-1,0.4345197033555598,0.4101287766130973
18.0,-1,0.24007617335895437,-0.5365263625345177
40.0,-1,0.9335144013989557,0.28568159750205124
20.0,1,-0.3377148371488393,-0.01786341554248348
35.0,1,0.4489657655189564,0.44982022664785204
30.0,1,0.49069772097423,0.3461570110118603
33.0,-1,0.7310152741117778,0.11568853244369748
19.0,-1,0.6904743050190141,0.30818767669888414
24.0,-1,0.6547115722663478,-0.03770805707792744
19.0,1,0.37287677833620325,0.12470805877157343
20.0,-1,0.4063804981138613,0.43418753803484755
25.0,1,-0.1978081625451798,0.5148796946369797
19.0,1,-0.13516433973131342,0.6586556036051763
26.0,-1,0.43828851634805677,0.35315181757171343
22.0,1,0.5191283352599076,0.42657924721732154
25.0,-1,-0.3710637239571627,0.03636012703722406
44.0,-1,-1.7940074212254664,-0.08421852967947834
21.0,-1,-0.6799406014767833,0.037727174927153696
22.0,-1,0.2314080655664544,0.6236913473889987
44.0,1,0.005206835532931311,0.4375048168084133
32.0,1,-0.31267103071460056,0.3191504889991883
40.0,-1,0.5953092393483663,0.5345519075515454
20.0,1,0.02451594801279754,0.04515799128053618
22.0,1,-1.0033321939354634,0.7653839893020591
18.0,1,0.5149795370998089,0.18451462777548022
22.0,1,0.18021877049728705,0.08498485445633304
19.0,1,-0.1973517410950299,0.6482758375555656
19.0,1,-0.1595415705847031,-0.13047372192846085
36.0,1,-0.5209267271623435,0.00572274428951792
30.0,1,-0.0390799017936507,0.4558708221117686
18.0,-1,0.02610201480383137,0.07042923321724152
33.0,1,0.7795954127727043,-0.11358584371905206
35.0,-1,0.572055902084225,0.07069289477588733
28.0,-1,0.10087205121242172,-0.23867167404186135
50.0,1,0.3162757407793205,0.38222285326651356
38.0,1,-0.4326328383232246,0.3236337377938938
18.0,1,-0.2998753781443544,-0.10817532390506034
21.0,1,0.7151883555514912,0.06954457379467183
33.0,-1,-0.24291762913318304,0.3482443165797192
21.0,1,0.47039367225264245,0.2362606164898667
38.0,1,-0.2171065922030482,0.43289868468453807
25.0,1,0.7388212056621066,0.21680380560886825
20.0,-1,0.13198192750618618,0.5569158203823918
18.0,1,-0.6895930665584218,0.46161354743292254
45.0,-1,-0.7358781042765263,0.06612679880658434
35.0,-1,0.6904603910561744,0.14153196958931585
34.0,-1,-1.1534718378119202,-0.2859887924147799
22.0,1,0.6028166841399389,0.25770449344623997
34.0,-1,-1.0118247802754812,-0.49395172476523724
25.0,-1,0.0334249333892411,0.3916043693426593
21.0,-1,0.8515667930352975,0.26456806315309067
22.0,1,0.26408203768065824,0.46714484909953846
24.0,-1,0.27046049589646687,-0.0400884902340304
21.0,1,-1.2387047892059033,-0.16138155838951343
48.0,-1,0.8942937675014172,0.008475142484189591
41.0,1,-0.368546454223644,0.5552604990506746
33.0,1,0.1657674748373671,0.24819029789993463
21.0,-1,0.7354240759558089,0.3302847051360434
34.0,-1,0.7437416960619514,0.39639656769289544
32.0,-1,0.15128347962969152,0.21715008561961913
35.0,-1,0.6834523269081727,0.4773013371861978
40.0,1,0.052138803737625125,0.10431940146309861
55.0,1,0.7147247011076386,0.1807280638274959
19.0,-1,-0.2718573751860256,0.2520281348872572
22.0,1,-0.9010000204750885,0.029407202607961355
51.0,1,-0.5019969361564318,-0.03232164294825162
25.0,1,-0.0466889921875004,-0.23166085932507846
36.0,1,0.7281996506570941,-0.07826981207575265
23.0,1,-0.3650592022993686,-0.39735656079420273
34.0,1,0.29644647462409796,0.335980643596834
18.0,1,-0.06630777117023408,-0.1959428766314272
31.0,1,0.6348938571880123,0.052640641779243755
21.0,-1,-0.37635992873171487,0.4113661989252687
24.0,-1,0.5678773108241352,0.38404084300813285
31.0,1,-1.2584995947006061,0.32091887790696155
22.0,-1,0.5328820234203168,0.14645119551159302
39.0,-1,0.9156411279421454,0.23125307354101027
