subject,age,gender,block,trial,testform,item,dimension,distractor,puzzle,accuracy,rt
686897,22,Female,2,10,1,30,7,paired,30_grid_double__10211001101112200100121012020000_shape_set_20_T.jpeg,1,7.004
686897,22,Female,2,11,1,31,3,paired,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,1,9.177
686897,22,Female,2,12,1,32,1,paired,32_flower_single__11110100010002000000_shape_set_17_T.jpeg,1,6.038
686897,22,Female,2,13,1,1,2,minimal,1_single__101010001010_shape_set_4_T.jpeg,1,1.571
686897,22,Female,2,14,1,2,1,minimal,2_double__0000020001001020_shape_set_17_T.jpeg,1,2.724
686897,22,Female,2,15,1,44,6,paired,44_triple__120211201211000011101212_shape_set_17_T.jpeg,0,13.202
686897,22,Female,2,16,1,6,2,paired,6_single__121210101222_shape_set_20_T.jpeg,1,6.181
686897,22,Female,2,17,1,15,3,paired,15_double__0000110211121011_shape_set_20_T.jpeg,0,6.758
686897,22,Female,2,18,1,16,4,paired,16_grid_single__1012121112021101_shape_set_4_T.jpeg,1,3.3240000000000003
686897,22,Female,2,19,1,12,4,paired,12_double__1212102211111221_shape_set_20_T.jpeg,0,5.323
686897,22,Female,2,20,1,24,7,paired,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,0,7.117
686897,22,Female,2,21,1,25,2,minimal,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,1,3.685
686897,22,Female,2,22,1,26,5,minimal,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,0,7.705
686897,22,Female,2,23,1,27,3,minimal,27_double__1020020012121122_shape_set_20_T.jpeg,0,8.458
686897,22,Female,2,24,1,28,2,minimal,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,0,8.275
686897,22,Female,2,25,1,4,1,paired,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,1,1.975
686897,22,Female,2,26,1,39,2,minimal,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,1,5.3100000000000005
686897,22,Female,2,27,1,43,1,paired,43_flower_double__0000010000000200020001000100000012200000_shape_set_4_T.jpeg,1,6.655
686897,22,Female,2,28,1,41,1,paired,41_single__112012110000_shape_set_17_T.jpeg,0,3.217
686897,22,Female,2,29,1,37,3,paired,37_flower_double__0200010001000200020002001211110111120100_shape_set_4_T.jpeg,0,4.1450000000000005
686897,22,Female,2,30,1,3,1,paired,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,1,1.382
686897,22,Female,2,31,1,38,1,paired,38_clockwork3_single__010011110000_shape_set_17_T.jpeg,1,4.417
686897,22,Female,2,32,1,5,1,paired,5_grid_single__0000000010200000_shape_set_17_T.jpeg,1,1.607
686897,22,Female,2,33,1,17,4,paired,17_double__1222110111201012_shape_set_17_T.jpeg,0,6.79
686897,22,Female,2,34,1,9,1,paired,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,1,6.38
686897,22,Female,2,35,1,52,5,minimal,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,0,13.154
686897,22,Female,2,36,1,11,3,minimal,11_grid_single__1220111101001121_shape_set_17_T.jpeg,1,6.206
686897,22,Female,2,37,1,55,6,paired,55_grid_double__12021120101202001210000012110100_shape_set_4_T.jpeg,1,13.538
686897,22,Female,2,38,1,13,3,minimal,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,0,4.643
686897,22,Female,2,39,1,14,5,minimal,14_triple__112110100000000010021222_shape_set_17_T.jpeg,0,3.016
686897,22,Female,2,40,1,56,3,minimal,56_grid_single__1001101200001122_shape_set_17_T.jpeg,1,7.969
686897,22,Female,2,41,1,18,3,paired,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,1,7.563
686897,22,Female,2,42,1,40,4,paired,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,0,6.502
686897,22,Female,2,43,1,21,7,paired,21_triple__100111201112121010221202_shape_set_20_T.jpeg,0,5.745
686897,22,Female,2,44,1,54,6,minimal,54_grid_double__01001121120112110100100212100100_shape_set_20_T.jpeg,0,10.591
686897,22,Female,2,45,1,42,4,minimal,42_double__1111101211021120_shape_set_20_T.jpeg,0,4.9430000000000005
686897,22,Female,2,46,1,33,1,paired,33_single__000010221212_shape_set_20_T.jpeg,1,8.458
686897,22,Female,2,47,1,36,6,paired,36_triple__111212011010112010220100_shape_set_20_T.jpeg,0,4.687
686897,22,Female,2,48,1,45,7,minimal,45_grid_triple__101211020100111110200000010000000100121002000200_shape_set_20_T.jpeg,1,6.277
686897,22,Female,2,49,1,46,6,paired,46_triple__101112200200110212211001_shape_set_4_T.jpeg,1,8.672
686897,22,Female,2,50,1,19,2,paired,19_single__101112201212_shape_set_4_T.jpeg,0,4.266
686897,22,Female,2,51,1,53,4,minimal,53_flower_double__1001010002001212112201000200020010200100_shape_set_17_T.jpeg,0,8.719
686897,22,Female,2,52,1,20,2,minimal,20_double__1221010010220000_shape_set_17_T.jpeg,1,5.869
686897,22,Female,2,53,1,51,2,paired,51_double__0100102201001012_shape_set_20_T.jpeg,1,5.846
686897,22,Female,2,54,1,49,2,minimal,49_clockwork3_single__010011221121_shape_set_4_T.jpeg,0,7.3
686897,22,Female,2,55,1,23,4,paired,23_grid_single__1110120212111121_shape_set_17_T.jpeg,1,6.625
686897,22,Female,2,56,1,35,8,paired,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,1,8.018
686897,22,Female,2,57,1,22,2,paired,22_single__112212211220_shape_set_4_T.jpeg,1,6.095
686897,22,Female,2,58,1,10,3,minimal,10_triple__000012221120010002000000_shape_set_4_T.jpeg,1,4.466
686897,22,Female,2,59,1,34,3,paired,34_flower_single__11210200122211220100_shape_set_4_T.jpeg,0,6.205
686897,22,Female,2,60,1,48,1,minimal,48_flower_double__0100121102000000020002000100010000000000_shape_set_20_T.jpeg,1,9.026
686897,22,Female,2,61,1,47,2,minimal,47_flower_double__0100101200000200101102000000010001000100_shape_set_17_T.jpeg,0,12.673
686897,22,Female,2,62,1,50,2,paired,50_clockwork3_single__122200001022_shape_set_17_T.jpeg,1,7.71
686903,24,Female,1,1,2,15,3,paired,15_double__0000110211121011_shape_set_17_T.jpeg,1,28.998
686903,24,Female,1,2,2,16,4,minimal,16_grid_single__1012121112021101_shape_set_20_T.jpeg,1,10.835
686903,24,Female,1,3,2,17,4,paired,17_double__1222110111201012_shape_set_4_T.jpeg,0,15.895
686903,24,Female,1,4,2,18,3,minimal,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,0,21.213
686903,24,Female,1,5,2,19,2,minimal,19_single__101112201212_shape_set_20_T.jpeg,0,12.357
686903,24,Female,1,6,2,20,2,paired,20_double__1221010010220000_shape_set_4_T.jpeg,1,12.738
686903,24,Female,1,7,2,21,7,minimal,21_triple__100111201112121010221202_shape_set_17_T.jpeg,0,26.512
686903,24,Female,1,8,2,22,2,minimal,22_single__112212211220_shape_set_20_T.jpeg,1,6.923
686903,24,Female,1,9,2,23,4,minimal,23_grid_single__1110120212111121_shape_set_4_T.jpeg,0,16.388
686903,24,Female,1,10,2,24,7,paired,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,0,20.703
686903,24,Female,1,11,2,25,2,minimal,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,1,9.051
686903,24,Female,1,12,2,26,5,paired,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,0,19.574
686903,24,Female,1,13,2,27,3,minimal,27_double__1020020012121122_shape_set_17_T.jpeg,0,12.72
686903,24,Female,1,14,2,28,2,paired,28_flower_double__0000122201000100000011220000020001000100_shape_set_20_T.jpeg,1,20.303
686903,24,Female,1,15,2,29,7,minimal,29_grid_double__10121011111012010000102012020000_shape_set_4_T.jpeg,0,18.436
686903,24,Female,1,16,2,30,7,minimal,30_grid_double__10211001101112200100121012020000_shape_set_17_T.jpeg,1,12.508
686903,24,Female,1,17,2,31,3,minimal,31_flower_double__0200010011120100020012110000000002001102_shape_set_20_T.jpeg,1,12.627
686903,24,Female,1,18,2,32,1,paired,32_flower_single__11110100010002000000_shape_set_4_T.jpeg,1,9.22
686903,24,Female,1,19,2,5,1,paired,5_grid_single__0000000010200000_shape_set_4_T.jpeg,1,4.083
686903,24,Female,1,20,2,6,2,minimal,6_single__121210101222_shape_set_17_T.jpeg,0,28.278
686903,24,Female,1,21,2,7,1,minimal,7_flower_single__01000200020012200200_shape_set_20_T.jpeg,1,5.8580000000000005
686903,24,Female,1,22,2,8,1,minimal,8_grid_single__0100000000001111_shape_set_4_T.jpeg,1,5.7490000000000006
686903,24,Female,1,23,2,9,1,paired,9_flower_single__10020000020001000200_shape_set_17_T.jpeg,1,6.333
686903,24,Female,1,24,2,10,3,minimal,10_triple__000012221120010002000000_shape_set_20_T.jpeg,1,16.524
