name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
xi_pr[3,17]	-0.21	0.015	0.82	-1.6	-0.12	1.0	3004.0	3.4	1.0
xi_pr[3,18]	-0.43	0.016	0.82	-1.8	-0.42	0.87	2499.0	2.8	1.0
xi_pr[3,19]	-0.052	0.016	0.82	-1.6	0.053	1.1	2501.0	2.8	1.0
xi_pr[3,20]	-0.3	0.014	0.81	-1.8	-0.23	0.92	3193.0	3.6	1.0
xi_pr[3,21]	-0.22	0.015	0.81	-1.6	-0.16	1.1	2775.0	3.1	1.0
xi_pr[3,22]	-0.063	0.017	0.9	-1.6	0.0096	1.3	2768.0	3.1	1.0
xi_pr[3,23]	-0.28	0.015	0.82	-1.7	-0.22	0.96	3147.0	3.5	1.0
xi_pr[3,24]	-0.58	0.02	0.81	-1.9	-0.57	0.79	1719.0	1.9	1.0
xi_pr[3,25]	0.44	0.018	0.85	-1.2	0.59	1.6	2107.0	2.4	1.0
xi_pr[3,26]	-0.67	0.018	0.8	-2.0	-0.67	0.65	1871.0	2.1	1.0
xi_pr[3,27]	-0.35	0.013	0.81	-1.8	-0.28	0.87	3653.0	4.1	1.0
xi_pr[3,28]	-0.27	0.015	0.85	-1.7	-0.21	1.0	3380.0	3.8	1.0
xi_pr[3,29]	-0.39	0.013	0.81	-1.8	-0.34	0.83	3798.0	4.3	1.0
xi_pr[3,30]	0.02	0.016	0.89	-1.5	0.11	1.3	2894.0	3.2	1.0
xi_pr[3,31]	-0.51	0.014	0.78	-1.8	-0.47	0.65	3087.0	3.5	1.0
xi_pr[3,32]	-0.39	0.013	0.83	-1.8	-0.36	0.91	4003.0	4.5	1.0
xi_pr[3,33]	-0.35	0.014	0.85	-1.8	-0.29	0.92	3711.0	4.2	1.0
xi_pr[3,34]	-0.51	0.014	0.78	-1.9	-0.46	0.69	3216.0	3.6	1.0
xi_pr[3,35]	-0.42	0.013	0.79	-1.8	-0.35	0.76	3495.0	3.9	1.0
xi_pr[3,36]	-0.2	0.016	0.82	-1.6	-0.14	1.1	2749.0	3.1	1.0
xi_pr[3,37]	-0.42	0.013	0.8	-1.8	-0.37	0.79	3684.0	4.1	1.0
xi_pr[3,38]	-0.054	0.018	0.95	-1.7	-0.0059	1.4	2770.0	3.1	1.0
xi_pr[3,39]	-0.27	0.014	0.83	-1.8	-0.2	0.97	3369.0	3.8	1.0
xi_pr[3,40]	-0.44	0.012	0.79	-1.9	-0.38	0.77	4270.0	4.8	1.0
L[1,1]	1.0		6e-16	1.0	1.0	1.0			
L[1,2]	0.0		0.0	0.0	0.0	0.0			
L[1,3]	0.0		0.0	0.0	0.0	0.0			
