subject	item	accuracy	Y_hat	Y_pred	WAIC
686755	28	1	0.7645	0.7554467411741241	-0.2979950689176962
686755	29	1	0.6545	0.6559774179374811	-0.4545736416887713
686755	27	0	0.584	0.414406529127045	-0.947454813116686
686755	30	1	0.84825	0.8499337439114185	-0.17008585231210133
686755	31	1	0.604	0.6061506733166242	-0.5391612052475465
686755	32	0	0.74275	0.2547936794521881	-1.5772603914128647
686755	24	0	0.35525	0.6421297937965248	-0.4591215183274623
686755	25	1	0.85625	0.8615287111115949	-0.15439778193015946
686755	26	0	0.35275	0.6451726458390351	-0.4523893975362085
686755	40	0	0.58075	0.4144025042474519	-0.9813188987932527
686755	19	1	0.63725	0.6464609936962924	-0.46152781351954253
686755	14	0	0.37225	0.6319132570928283	-0.47389844752696764
686755	15	1	0.5115	0.5088663352401809	-0.7167845308089774
686755	33	1	0.6735	0.6675951367937194	-0.42724604433508345
686755	34	1	0.4095	0.4099534272109881	-0.9319662825740642
686755	18	0	0.342	0.6506440726299306	-0.4395403707283649
686755	16	1	0.845	0.8498335437684251	-0.16771352284426425
686755	22	0	0.827	0.16609274993252318	-2.0076130700514616
686755	23	1	0.672	0.6696302864326938	-0.4227296474476194
686755	13	1	0.435	0.43436459628602914	-0.8794719534361877
686755	20	1	0.68875	0.6976053204146769	-0.38287209676428974
686755	21	1	0.4125	0.41466084520336827	-0.9169722285092962
686755	38	1	0.93425	0.9326385861512402	-0.07273607847858102
686755	39	0	0.66825	0.3340901016298	-1.2230776590352606
686755	8	1	0.856	0.8622536068512195	-0.15486051078181312
686755	10	1	0.5695	0.5536263306538441	-0.6262862539004377
686755	11	0	0.50575	0.49505251497338565	-0.7430720233201948
686755	12	0	0.36175	0.6315515240647678	-0.4733741271328194
686755	17	1	0.5475	0.5272409205933918	-0.6747527807773076
686755	37	1	0.53325	0.5472385322717389	-0.6500187498846539
686755	4	1	0.994	0.9943850469617862	-0.005684232764815461
686755	9	1	0.95775	0.9514321865911167	-0.050747982024195455
686755	6	1	0.66325	0.6613406875488294	-0.4352686534477339
686755	1	1	0.98325	0.980422491092304	-0.02003362677065116
686755	7	1	0.9755	0.9777403142705989	-0.02287281689913945
686755	3	1	0.97175	0.9701544398408717	-0.030853718329859364
686755	2	1	0.97375	0.9769928607677614	-0.02366046091583868
686755	5	1	0.988	0.9883189789687026	-0.01188629575202508
686755	36	0	0.37375	0.6166975047685885	-0.5019708301580759
686755	35	0	0.51775	0.47667232087413336	-0.8078168864801666
686897	8	1	0.8405	0.8444224378775969	-0.17678586427699927
686897	7	1	0.97175	0.9744038732320311	-0.02638251124218842
686897	29	1	0.60975	0.6227970723943003	-0.5075360104349196
