name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
lp__	-1100.0	0.77	18.0	-1100.0	-1100.0	-1100.0	520.0	7.3	1.0
theta[1]	0.28	0.018	0.77	-0.97	0.26	1.6	1886.0	26.0	1.0
theta[2]	-0.37	0.014	0.69	-1.5	-0.39	0.77	2574.0	36.0	1.0
theta[3]	0.41	0.012	0.7	-0.69	0.38	1.6	3163.0	44.0	1.0
theta[4]	0.48	0.014	0.73	-0.73	0.48	1.7	2859.0	40.0	1.0
theta[5]	0.57	0.019	0.8	-0.67	0.57	1.9	1737.0	24.0	1.0
theta[6]	-0.17	0.022	0.74	-1.3	-0.18	1.1	1148.0	16.0	1.0
theta[7]	-1.4	0.014	0.61	-2.4	-1.3	-0.39	1806.0	25.0	1.0
theta[8]	0.62	0.012	0.72	-0.56	0.59	1.8	3778.0	53.0	1.0
theta[9]	0.17	0.015	0.69	-0.94	0.15	1.3	2197.0	31.0	1.0
theta[10]	0.77	0.014	0.77	-0.47	0.76	2.0	3023.0	42.0	1.0
theta[11]	0.79	0.013	0.75	-0.4	0.78	2.0	3423.0	48.0	1.0
theta[12]	-0.75	0.014	0.65	-1.8	-0.75	0.3	2201.0	31.0	1.0
theta[13]	-0.75	0.012	0.64	-1.8	-0.76	0.27	2794.0	39.0	1.0
theta[14]	0.25	0.014	0.69	-0.81	0.24	1.4	2588.0	36.0	1.0
theta[15]	-0.22	0.011	0.65	-1.3	-0.23	0.86	3215.0	45.0	1.0
theta[16]	0.59	0.014	0.74	-0.6	0.58	1.8	2784.0	39.0	1.0
theta[17]	0.47	0.016	0.71	-0.67	0.45	1.7	2110.0	30.0	1.0
theta[18]	0.35	0.014	0.75	-0.87	0.33	1.6	2844.0	40.0	1.0
theta[19]	0.12	0.018	0.69	-1.0	0.11	1.3	1535.0	21.0	1.0
theta[20]	-0.2	0.014	0.7	-1.4	-0.22	0.98	2333.0	33.0	1.0
theta[21]	-0.24	0.013	0.64	-1.3	-0.24	0.8	2468.0	35.0	1.0
theta[22]	-0.17	0.014	0.66	-1.2	-0.18	0.94	2345.0	33.0	1.0
theta[23]	0.7	0.015	0.73	-0.5	0.68	1.9	2397.0	34.0	1.0
theta[24]	0.098	0.012	0.66	-0.94	0.083	1.2	3117.0	44.0	1.0
theta[25]	0.00062	0.013	0.68	-1.1	-0.021	1.1	2596.0	36.0	1.0
theta[26]	-0.56	0.012	0.67	-1.7	-0.56	0.53	2871.0	40.0	1.0
theta[27]	0.034	0.012	0.68	-1.0	0.026	1.2	3222.0	45.0	1.0
theta[28]	-1.3	0.017	0.68	-2.5	-1.2	-0.2	1676.0	23.0	1.0
theta[29]	-0.048	0.015	0.72	-1.2	-0.079	1.2	2420.0	34.0	1.0
theta[30]	-0.45	0.013	0.68	-1.6	-0.44	0.68	2594.0	36.0	1.0
theta[31]	0.69	0.012	0.77	-0.55	0.7	1.9	4030.0	56.0	1.0
theta[32]	-0.49	0.022	0.72	-1.7	-0.5	0.72	1083.0	15.0	1.0
theta[33]	-0.043	0.013	0.69	-1.2	-0.042	1.1	2845.0	40.0	1.0
theta[34]	0.62	0.014	0.74	-0.55	0.57	1.9	2720.0	38.0	1.0
theta[35]	0.52	0.019	0.75	-0.67	0.51	1.8	1546.0	22.0	1.0
theta[36]	0.16	0.013	0.71	-0.94	0.14	1.4	2750.0	38.0	1.0
theta[37]	-0.91	0.015	0.72	-2.1	-0.92	0.26	2427.0	34.0	1.0
theta[38]	0.16	0.014	0.72	-0.98	0.15	1.4	2808.0	39.0	1.0
theta[39]	0.75	0.014	0.71	-0.37	0.74	2.0	2585.0	36.0	1.0
theta[40]	0.84	0.015	0.76	-0.36	0.81	2.1	2526.0	35.0	1.0
theta[41]	1.2	0.014	0.75	-0.027	1.2	2.5	3072.0	43.0	1.0
theta[42]	0.18	0.013	0.68	-0.9	0.16	1.3	2790.0	39.0	1.0
theta[43]	0.11	0.015	0.68	-0.98	0.096	1.3	2148.0	30.0	1.0
theta[44]	0.8	0.014	0.74	-0.4	0.79	2.0	2846.0	40.0	1.0
