name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[132]	0.22	0.011	0.68	-0.9	0.23	1.3	4113.0	100.0	1.0
theta[133]	-1.3	0.01	0.66	-2.4	-1.3	-0.28	3978.0	97.0	1.0
theta[134]	-0.092	0.012	0.73	-1.3	-0.079	1.0	3919.0	96.0	1.0
theta[135]	-0.43	0.01	0.64	-1.5	-0.4	0.58	3953.0	97.0	1.0
theta[136]	-0.53	0.0097	0.68	-1.7	-0.52	0.56	4871.0	119.0	1.0
theta[137]	-0.83	0.011	0.71	-2.0	-0.81	0.28	4420.0	108.0	1.0
theta[138]	0.56	0.011	0.71	-0.58	0.58	1.7	4154.0	101.0	1.0
theta[139]	0.29	0.01	0.69	-0.87	0.3	1.4	4817.0	118.0	1.0
theta[140]	0.13	0.011	0.74	-1.1	0.16	1.3	4172.0	102.0	1.0
theta[141]	-0.13	0.0095	0.62	-1.2	-0.13	0.88	4315.0	105.0	1.0
theta[142]	0.94	0.011	0.74	-0.23	0.92	2.2	4524.0	111.0	1.0
theta[143]	-0.16	0.011	0.72	-1.4	-0.14	0.98	4176.0	102.0	1.0
theta[144]	-1.4	0.0086	0.64	-2.4	-1.3	-0.37	5429.0	133.0	1.0
theta[145]	-0.19	0.011	0.71	-1.4	-0.18	0.95	4196.0	103.0	1.0
theta[146]	-1.0	0.01	0.67	-2.2	-0.97	0.064	4430.0	108.0	1.0
theta[147]	0.74	0.011	0.75	-0.48	0.74	2.0	4881.0	119.0	1.0
theta[148]	-1.1	0.01	0.65	-2.2	-1.1	-0.035	4072.0	99.0	1.0
theta[149]	-1.0	0.0096	0.67	-2.1	-0.96	0.036	4862.0	119.0	1.0
theta[150]	-0.39	0.011	0.64	-1.5	-0.37	0.61	3142.0	77.0	1.0
theta[151]	-0.71	0.01	0.65	-1.8	-0.68	0.3	3939.0	96.0	1.0
theta[152]	-0.24	0.011	0.71	-1.4	-0.21	0.93	4106.0	100.0	1.0
theta[153]	-1.1	0.0091	0.6	-2.2	-1.1	-0.14	4429.0	108.0	1.0
theta[154]	-1.3	0.0093	0.63	-2.4	-1.3	-0.29	4677.0	114.0	1.0
theta[155]	0.93	0.01	0.7	-0.21	0.92	2.1	4740.0	116.0	1.0
theta[156]	-0.81	0.0096	0.67	-2.0	-0.78	0.22	4879.0	119.0	1.0
theta[157]	0.36	0.01	0.69	-0.77	0.37	1.5	4502.0	110.0	1.0
theta[158]	-0.46	0.012	0.7	-1.6	-0.45	0.67	3291.0	80.0	1.0
theta[159]	0.95	0.011	0.76	-0.27	0.92	2.2	4872.0	119.0	1.0
theta[160]	1.1	0.011	0.72	-0.078	1.1	2.3	4196.0	102.0	1.0
theta[161]	0.8	0.011	0.78	-0.49	0.78	2.1	4754.0	116.0	1.0
theta[162]	0.75	0.011	0.73	-0.44	0.77	2.0	4608.0	113.0	1.0
theta[163]	0.58	0.015	0.86	-0.82	0.58	2.0	3232.0	79.0	1.0
theta[164]	0.17	0.01	0.67	-0.94	0.17	1.3	4187.0	102.0	1.0
theta[165]	-1.1	0.011	0.65	-2.2	-1.1	-0.0024	3798.0	93.0	1.0
theta[166]	-1.2	0.0085	0.62	-2.3	-1.2	-0.19	5379.0	131.0	1.0
theta[167]	1.3	0.01	0.72	0.12	1.3	2.5	5016.0	123.0	1.0
theta[168]	0.52	0.0092	0.74	-0.7	0.53	1.7	6360.0	155.0	1.0
theta[169]	-0.39	0.01	0.72	-1.6	-0.37	0.8	5130.0	125.0	1.0
theta[170]	-0.51	0.0094	0.66	-1.6	-0.48	0.56	4944.0	121.0	1.0
theta[171]	-0.28	0.011	0.66	-1.4	-0.27	0.75	3674.0	90.0	1.0
theta[172]	0.13	0.01	0.7	-1.0	0.15	1.3	4622.0	113.0	1.0
theta[173]	0.98	0.011	0.72	-0.18	0.99	2.2	4034.0	99.0	1.0
theta[174]	0.44	0.0098	0.66	-0.66	0.46	1.5	4520.0	110.0	1.0
theta[175]	0.34	0.0095	0.68	-0.8	0.34	1.4	5115.0	125.0	1.0
theta[176]	-0.6	0.013	0.74	-1.8	-0.63	0.67	3354.0	82.0	1.0
theta[177]	-0.57	0.01	0.67	-1.7	-0.54	0.5	4438.0	108.0	1.0
theta[178]	0.87	0.011	0.73	-0.35	0.88	2.1	4507.0	110.0	1.0
theta[179]	-0.28	0.013	0.72	-1.5	-0.27	0.91	3027.0	74.0	1.0
theta[180]	-0.36	0.0099	0.63	-1.4	-0.34	0.63	4068.0	99.0	1.0
xi_mu[1]	0.091	0.013	0.36	-0.49	0.091	0.67	698.0	17.0	1.0
xi_mu[2]	0.29	0.006	0.21	-0.044	0.29	0.63	1189.0	29.0	1.0
xi_pr[1,1]	-2.0	0.015	0.52	-2.8	-1.9	-1.2	1223.0	30.0	1.0
