name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[30]	1.2	0.005	0.31	0.79	1.2	1.8	3665.0	19.0	1.0
alpha[31]	1.5	0.0076	0.38	0.97	1.4	2.2	2546.0	13.0	1.0
alpha[32]	1.5	0.011	0.47	1.0	1.4	2.4	1685.0	8.8	1.0
alpha[33]	1.1	0.0047	0.26	0.72	1.1	1.5	2985.0	16.0	1.0
alpha[34]	1.3	0.0051	0.33	0.82	1.3	1.9	4018.0	21.0	1.0
alpha[35]	1.5	0.0088	0.43	0.98	1.4	2.3	2358.0	12.0	1.0
alpha[36]	1.2	0.0054	0.34	0.73	1.2	1.8	4078.0	21.0	1.0
alpha[37]	1.4	0.0082	0.43	0.93	1.3	2.2	2690.0	14.0	1.0
alpha[38]	1.5	0.012	0.53	0.92	1.4	2.4	2034.0	11.0	1.0
alpha[39]	1.3	0.0053	0.33	0.81	1.2	1.9	3973.0	21.0	1.0
alpha[40]	1.4	0.0073	0.4	0.9	1.3	2.1	3045.0	16.0	1.0
