name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[7]	1.4	0.0059	0.32	0.95	1.3	2.0	2878.0	22.0	1.0
alpha[8]	1.1	0.0045	0.24	0.78	1.1	1.5	2853.0	21.0	1.0
alpha[9]	1.1	0.0042	0.23	0.81	1.1	1.6	2937.0	22.0	1.0
alpha[10]	0.9	0.0031	0.2	0.61	0.88	1.2	4191.0	31.0	1.0
alpha[11]	0.68	0.003	0.16	0.42	0.67	0.96	2853.0	21.0	1.0
alpha[12]	0.75	0.003	0.18	0.48	0.74	1.1	3608.0	27.0	1.0
alpha[13]	0.87	0.0031	0.2	0.57	0.85	1.2	4324.0	32.0	1.0
alpha[14]	0.76	0.0027	0.18	0.48	0.74	1.1	4459.0	33.0	1.0
alpha[15]	0.87	0.0033	0.2	0.58	0.85	1.2	3614.0	27.0	1.0
alpha[16]	0.85	0.0032	0.17	0.6	0.84	1.1	2817.0	21.0	1.0
alpha[17]	0.75	0.0029	0.17	0.48	0.74	1.0	3232.0	24.0	1.0
alpha[18]	0.62	0.0026	0.16	0.38	0.62	0.89	3577.0	27.0	1.0
alpha[19]	0.84	0.0029	0.17	0.57	0.83	1.1	3669.0	27.0	1.0
alpha[20]	0.95	0.0033	0.2	0.64	0.93	1.3	3717.0	28.0	1.0
alpha[21]	0.64	0.0029	0.16	0.39	0.64	0.91	2871.0	21.0	1.0
alpha[22]	1.1	0.0035	0.23	0.74	1.1	1.5	4034.0	30.0	1.0
alpha[23]	0.9	0.0029	0.19	0.62	0.88	1.2	4089.0	31.0	1.0
alpha[24]	1.0	0.0054	0.28	0.65	0.98	1.5	2624.0	20.0	1.0
alpha[25]	1.0	0.0034	0.2	0.7	0.99	1.4	3623.0	27.0	1.0
alpha[26]	0.94	0.0046	0.24	0.6	0.91	1.4	2838.0	21.0	1.0
alpha[27]	0.81	0.0028	0.18	0.53	0.8	1.1	4052.0	30.0	1.0
alpha[28]	1.1	0.0041	0.24	0.75	1.0	1.5	3239.0	24.0	1.0
alpha[29]	1.1	0.0041	0.25	0.73	1.0	1.5	3656.0	27.0	1.0
alpha[30]	1.1	0.0044	0.24	0.76	1.1	1.6	3054.0	23.0	1.0
alpha[31]	1.1	0.0046	0.26	0.72	1.0	1.6	3243.0	24.0	1.0
alpha[32]	1.2	0.0054	0.29	0.8	1.2	1.7	2816.0	21.0	1.0
