subject	trial	dimension	item	accuracy	rt	w_hat	Y_hat	Y_pred	WAIC
3640419	6	1	8	0	5.853	0.04568926221209346	0.7195	0.2816059190418888	-1.5082800767418945
3640419	9	2	6	0	4.571	0.09052267573206849	0.2705	0.7238924699926025	-0.35266317658094776
3640419	10	2	19	0	0.799	0.9986870456843105	0.2675	0.7499575394868508	-0.28774491645867173
3640419	11	2	20	0	5.185	0.06192561213127652	0.475	0.5186125382045053	-0.7602709597516528
3640419	12	2	22	0	3.141	0.3539329618658437	0.3975	0.6059025777679974	-0.5370727993022648
3640419	13	2	25	0	4.636	0.0864892855821355	0.49975	0.4966972067628596	-0.7999558073579935
3640419	14	2	28	0	1.007	0.9968306588344836	0.25375	0.7499776736266603	-0.2877235351674755
3640419	15	2	39	1	1.103	0.9951943450342082	0.25975	0.24989424219568185	-1.3867759481470616
3640419	16	3	10	0	2.068	0.8575996430150753	0.2555	0.7418079924541418	-0.3000493145557946
3640419	17	3	11	0	1.981	0.8859238507015026	0.24875	0.7492933280160718	-0.289258956327152
3640419	18	3	13	0	1.369	0.9853372238563861	0.247	0.7505937385743914	-0.286919323632165
3640419	19	3	15	0	3.732	0.1864418447821511	0.25375	0.759676039049345	-0.2976104606637965
3640419	20	3	18	1	1.817	0.9284072224273985	0.23775	0.24452884844270684	-1.4116987356540227
3640419	21	3	27	0	3.727	0.187389849445562	0.2165	0.7820964129226149	-0.2609237939591642
3640419	22	3	31	0	0.892	0.9980669307105113	0.24825	0.7500654221012617	-0.28759935914270746
3640419	23	4	12	0	0.588	0.9993962462043684	0.2515	0.750097255355114	-0.28755586342504325
3640419	24	4	16	1	0.849	0.9983868694374955	0.253	0.2503619903562476	-1.3850063047178693
3640419	25	4	17	1	4.592	0.08918596132271356	0.36325	0.3538455140853947	-1.2286604653727708
3640419	26	4	23	0	3.998	0.1441867739747912	0.447	0.5465810187139442	-0.6886733668894758
3640419	27	4	40	0	1.001	0.9969120232254356	0.243	0.7498264601250465	-0.28793274431540195
3640419	28	4	42	1	0.86	0.9983109527008879	0.23975	0.25005938094459623	-1.3860963619865714
3640419	29	5	14	0	1.091	0.995437535300277	0.247	0.7503183464999365	-0.2872661354354131
3640419	30	5	26	0	0.587	0.9993981561152128	0.265	0.7500092418361487	-0.2876706157156529
3640419	31	5	52	1	0.765	0.9988545661840601	0.247	0.2498715171951775	-1.386845373516322
3640419	32	5	59	0	1.235	0.9915500665912715	0.2415	0.751217935009811	-0.2860938880167546
3640419	33	6	36	1	0.791	0.9987289024832755	0.24975	0.2500125532456488	-1.3863225116113702
3640419	34	6	44	0	0.938	0.9976473896142107	0.26	0.750049504068227	-0.28762696400172055
3640419	35	6	46	0	0.946	0.9975650846674334	0.246	0.7498630681669222	-0.28787876159639714
3640419	36	6	54	0	2.124	0.8372426798895402	0.237	0.7623249471378313	-0.27285297539545617
3640419	37	7	21	1	0.744	0.998945391239844	0.2465	0.24989514134094531	-1.3867563368506595
3640419	38	7	24	1	0.908	0.9979308375951719	0.24575	0.2498457540933844	-1.386976200299015
3640419	39	7	29	0	0.759	0.9988814433184066	0.24175	0.7499446357288005	-0.2877615547566482
3640419	40	8	35	0	0.448	0.9995810306576484	0.2465	0.7500233733459418	-0.2876522478852782
