subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
1i2nvqvazywxiayn3v5v16ej	3	3	11	0.0	0.35625	0.6427032714116802	-0.46681845977192177
1i2nvqvazywxiayn3v5v16ej	4	3	18	0.0	0.448	0.5592789462535923	-0.6227129767324088
1i2nvqvazywxiayn3v5v16ej	5	4	16	0.0	0.553	0.44573734452167985	-1.117972881574477
1i2nvqvazywxiayn3v5v16ej	6	4	17	0.0	0.35825	0.6296341820988341	-0.4820575297541749
1i2nvqvazywxiayn3v5v16ej	7	5	14	0.0	0.2855	0.7096300402359192	-0.34697656745613087
1i2nvqvazywxiayn3v5v16ej	8	5	26	1.0	0.35775	0.350018898984751	-1.0935447493106836
1wt4mr7p6qdp72srb0u5esx0	1	2	19	1.0	0.8315	0.8294684831406939	-0.208500388398011
1wt4mr7p6qdp72srb0u5esx0	2	2	20	1.0	0.85575	0.854809513034513	-0.1818516220696803
1wt4mr7p6qdp72srb0u5esx0	3	3	15	0.0	0.602	0.3946755885365958	-1.100685808598492
1wt4mr7p6qdp72srb0u5esx0	4	3	10	1.0	0.6935	0.7190913555062068	-0.386525753610396
1wt4mr7p6qdp72srb0u5esx0	5	4	12	0.0	0.497	0.5082795870757942	-0.7800798437743202
1wt4mr7p6qdp72srb0u5esx0	6	4	23	1.0	0.923	0.9189658558606354	-0.09796594217252562
1wt4mr7p6qdp72srb0u5esx0	7	5	14	1.0	0.5105	0.5162359674006575	-0.7540143097430672
1wt4mr7p6qdp72srb0u5esx0	8	5	26	1.0	0.63275	0.6465463095762193	-0.4966300889591924
1zskm2bzi8y5p5g4j8qhpdz6	1	2	19	1.0	0.7595	0.7602405591618386	-0.3088664614793004
1zskm2bzi8y5p5g4j8qhpdz6	2	2	20	1.0	0.771	0.7793314684829322	-0.294536840848848
1zskm2bzi8y5p5g4j8qhpdz6	3	3	15	0.0	0.52	0.4758830398567209	-0.8396800932427685
1zskm2bzi8y5p5g4j8qhpdz6	4	3	10	1.0	0.6205	0.6224884116075244	-0.5506370936350931
1zskm2bzi8y5p5g4j8qhpdz6	5	4	16	1.0	0.89975	0.9021267256386907	-0.12876730376192674
1zskm2bzi8y5p5g4j8qhpdz6	6	4	17	0.0	0.541	0.4513055861887899	-0.8938272725447508
1zskm2bzi8y5p5g4j8qhpdz6	7	5	14	1.0	0.4265	0.43331959521271085	-0.9209828871210078
1zskm2bzi8y5p5g4j8qhpdz6	8	5	26	0.0	0.55325	0.4509791506262219	-0.9348613193612385
269f5wxawxko5vbndnerjhvt	1	2	19	1.0	0.84675	0.8493400987318405	-0.18569576178237462
269f5wxawxko5vbndnerjhvt	2	2	20	1.0	0.88275	0.8745544070814153	-0.15826480608055576
