subject	trial	dimension	stimulus	accuracy	Y_hat	Y_pred	WAIC
076hlg2u9qp5j02ui073rpxd	1	2	1	1.0	0.98425	0.9852797571166361	-0.016324062449058235
076hlg2u9qp5j02ui073rpxd	2	2	6	1.0	0.771	0.7697044412023011	-0.28472301748563705
076hlg2u9qp5j02ui073rpxd	3	3	15	1.0	0.59	0.5735284361292072	-0.617502511468798
076hlg2u9qp5j02ui073rpxd	4	3	10	0.0	0.65225	0.3530310463321542	-1.3775720071858248
076hlg2u9qp5j02ui073rpxd	5	4	12	0.0	0.4675	0.5283019787096128	-0.7083379368098902
076hlg2u9qp5j02ui073rpxd	6	4	23	1.0	0.87	0.8723869759480225	-0.16893189152980542
076hlg2u9qp5j02ui073rpxd	7	5	52	1.0	0.4425	0.45069522662761813	-0.855418834456588
076hlg2u9qp5j02ui073rpxd	8	5	59	1.0	0.3335	0.3391578786631766	-1.2116854752663735
0cpxpi0rwueyzwtmwm09r1gi	1	2	1	1.0	0.96775	0.9662701781173028	-0.0396487286917709
0cpxpi0rwueyzwtmwm09r1gi	2	2	6	1.0	0.686	0.6823953278356053	-0.41836947540776687
0cpxpi0rwueyzwtmwm09r1gi	3	3	15	0.0	0.4645	0.5343870253049807	-0.6868659712935704
0cpxpi0rwueyzwtmwm09r1gi	4	3	10	0.0	0.5105	0.4899540135204287	-0.8858901672380419
0cpxpi0rwueyzwtmwm09r1gi	5	4	16	1.0	0.83175	0.8301157452580787	-0.2487351813270513
0cpxpi0rwueyzwtmwm09r1gi	6	4	17	0.0	0.508	0.4998903748355195	-0.7512969370629782
0cpxpi0rwueyzwtmwm09r1gi	7	5	52	1.0	0.38375	0.3745675306348084	-1.0504714301716207
0cpxpi0rwueyzwtmwm09r1gi	8	5	59	0.0	0.25525	0.7462231585366218	-0.3093103654838497
0elzwr27vqu4uwbj8gg93lug	1	2	19	1.0	0.798	0.8037844007194664	-0.23817916157378927
0elzwr27vqu4uwbj8gg93lug	2	2	20	1.0	0.8375	0.8312564033020228	-0.2092857731535032
0elzwr27vqu4uwbj8gg93lug	3	3	11	1.0	0.6975	0.7012409114249161	-0.4234803444629158
0elzwr27vqu4uwbj8gg93lug	4	3	18	0.0	0.73925	0.27313871376914706	-1.5470385216367595
0elzwr27vqu4uwbj8gg93lug	5	4	16	1.0	0.939	0.9387279621561736	-0.07164164646271191
0elzwr27vqu4uwbj8gg93lug	6	4	17	1.0	0.60125	0.6102736935224877	-0.5317258123146513
0elzwr27vqu4uwbj8gg93lug	7	5	52	1.0	0.477	0.4610221650329977	-0.8244262143905359
0elzwr27vqu4uwbj8gg93lug	8	5	59	0.0	0.34475	0.6545428443576254	-0.4609490194420253
10vsq79n9pi9zrrc7ihh4gpb	1	2	19	0.0	0.8125	0.19188827899495003	-2.015085415591142
10vsq79n9pi9zrrc7ihh4gpb	2	2	20	1.0	0.83525	0.837367196872083	-0.20260417359108995
10vsq79n9pi9zrrc7ihh4gpb	3	3	11	1.0	0.70825	0.7114779846846325	-0.4158229317547491
10vsq79n9pi9zrrc7ihh4gpb	4	3	18	1.0	0.73625	0.739649961103636	-0.33300216547102673
10vsq79n9pi9zrrc7ihh4gpb	5	4	12	0.0	0.48225	0.5023641027412115	-0.764491567458348
10vsq79n9pi9zrrc7ihh4gpb	6	4	23	1.0	0.8935	0.8998485826170565	-0.118887813723173
10vsq79n9pi9zrrc7ihh4gpb	7	5	52	1.0	0.48425	0.4698248806869502	-0.805615251446838
10vsq79n9pi9zrrc7ihh4gpb	8	5	59	1.0	0.3595	0.3626187240199363	-1.127217266486107
1fpmgsend1l8bjvx30truqd4	1	2	1	1.0	0.9905	0.990994143588292	-0.009560286913856773
1fpmgsend1l8bjvx30truqd4	2	2	6	1.0	0.7995	0.8029405764262315	-0.23734203238961243
1fpmgsend1l8bjvx30truqd4	3	3	15	1.0	0.60775	0.6198183127172051	-0.5320505710958651
1fpmgsend1l8bjvx30truqd4	4	3	10	0.0	0.69975	0.2958633252550281	-1.6796478137818558
1fpmgsend1l8bjvx30truqd4	5	4	16	1.0	0.94425	0.9432940191194698	-0.07129414799147522
1fpmgsend1l8bjvx30truqd4	6	4	17	1.0	0.63775	0.6343228099550763	-0.49608538091604676
1fpmgsend1l8bjvx30truqd4	7	5	52	1.0	0.48225	0.48781274339533187	-0.775053088612888
1fpmgsend1l8bjvx30truqd4	8	5	59	1.0	0.3745	0.3813511306224394	-1.0910303079114763
1gbumjgvj8h8v6uiq4vwef7w	1	2	1	1.0	0.97525	0.9741425307034727	-0.02955276713223958
1gbumjgvj8h8v6uiq4vwef7w	2	2	6	0.0	0.71275	0.29568413127283943	-1.4124783304683637
1gbumjgvj8h8v6uiq4vwef7w	3	3	15	0.0	0.47975	0.5047070371710063	-0.7760580448710039
1gbumjgvj8h8v6uiq4vwef7w	4	3	10	1.0	0.56875	0.5670782541576188	-0.6885565193833416
1gbumjgvj8h8v6uiq4vwef7w	5	4	16	1.0	0.85725	0.862219394301735	-0.19421628637821758
1gbumjgvj8h8v6uiq4vwef7w	6	4	17	1.0	0.5345	0.5293853323458241	-0.6878044560413977
1gbumjgvj8h8v6uiq4vwef7w	7	5	52	0.0	0.3975	0.6087001368674294	-0.5239076298111117
1gbumjgvj8h8v6uiq4vwef7w	8	5	59	0.0	0.27975	0.7248806314091881	-0.3447668332347936
