sub,age,gender,block,testform,Puzzle,distractor,Accuracy,RT
686897,22,Female,2,1,16_grid_single__1012121112021101_shape_set_4_T.jpeg,paired,1,3324
686897,22,Female,2,1,12_double__1212102211111221_shape_set_20_T.jpeg,paired,0,5323
686897,22,Female,2,1,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_20_T.jpeg,paired,0,7117
686897,22,Female,2,1,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,minimal,1,3685
686897,22,Female,2,1,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,minimal,0,7705
686897,22,Female,2,1,27_double__1020020012121122_shape_set_20_T.jpeg,minimal,0,8458
686897,22,Female,2,1,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,minimal,0,8275
686897,22,Female,2,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,paired,1,1975
686897,22,Female,2,1,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,minimal,1,5310
686897,22,Female,2,1,43_flower_double__0000010000000200020001000100000012200000_shape_set_4_T.jpeg,paired,1,6655
686897,22,Female,2,1,41_single__112012110000_shape_set_17_T.jpeg,paired,0,3217
686897,22,Female,2,1,37_flower_double__0200010001000200020002001211110111120100_shape_set_4_T.jpeg,paired,0,4145
686897,22,Female,2,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,paired,1,1382
686897,22,Female,2,1,38_clockwork3_single__010011110000_shape_set_17_T.jpeg,paired,1,4417
686897,22,Female,2,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,paired,1,1607
686897,22,Female,2,1,17_double__1222110111201012_shape_set_17_T.jpeg,paired,0,6790
686897,22,Female,2,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,paired,1,6380
686897,22,Female,2,1,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,minimal,0,13154
686897,22,Female,2,1,11_grid_single__1220111101001121_shape_set_17_T.jpeg,minimal,1,6206
686897,22,Female,2,1,55_grid_double__12021120101202001210000012110100_shape_set_4_T.jpeg,paired,1,13538
686897,22,Female,2,1,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,minimal,0,4643
686897,22,Female,2,1,14_triple__112110100000000010021222_shape_set_17_T.jpeg,minimal,0,3016
686897,22,Female,2,1,56_grid_single__1001101200001122_shape_set_17_T.jpeg,minimal,1,7969
686897,22,Female,2,1,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,paired,1,7563
686897,22,Female,2,1,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,paired,0,6502
686897,22,Female,2,1,21_triple__100111201112121010221202_shape_set_20_T.jpeg,paired,0,5745
686897,22,Female,2,1,54_grid_double__01001121120112110100100212100100_shape_set_20_T.jpeg,minimal,0,10591
686897,22,Female,2,1,42_double__1111101211021120_shape_set_20_T.jpeg,minimal,0,4943
686897,22,Female,2,1,33_single__000010221212_shape_set_20_T.jpeg,paired,1,8458
686897,22,Female,2,1,36_triple__111212011010112010220100_shape_set_20_T.jpeg,paired,0,4687
686897,22,Female,2,1,45_grid_triple__101211020100111110200000010000000100121002000200_shape_set_20_T.jpeg,minimal,1,6277
686897,22,Female,2,1,46_triple__101112200200110212211001_shape_set_4_T.jpeg,paired,1,8672
686897,22,Female,2,1,19_single__101112201212_shape_set_4_T.jpeg,paired,0,4266
686897,22,Female,2,1,53_flower_double__1001010002001212112201000200020010200100_shape_set_17_T.jpeg,minimal,0,8719
686897,22,Female,2,1,20_double__1221010010220000_shape_set_17_T.jpeg,minimal,1,5869
686897,22,Female,2,1,51_double__0100102201001012_shape_set_20_T.jpeg,paired,1,5846
686897,22,Female,2,1,49_clockwork3_single__010011221121_shape_set_4_T.jpeg,minimal,0,7300
686897,22,Female,2,1,23_grid_single__1110120212111121_shape_set_17_T.jpeg,paired,1,6625
686897,22,Female,2,1,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,paired,1,8018
686897,22,Female,2,1,22_single__112212211220_shape_set_4_T.jpeg,paired,1,6095
686897,22,Female,2,1,10_triple__000012221120010002000000_shape_set_4_T.jpeg,minimal,1,4466
686897,22,Female,2,1,34_flower_single__11210200122211220100_shape_set_4_T.jpeg,paired,0,6205
686897,22,Female,2,1,48_flower_double__0100121102000000020002000100010000000000_shape_set_20_T.jpeg,minimal,1,9026
686897,22,Female,2,1,47_flower_double__0100101200000200101102000000010001000100_shape_set_17_T.jpeg,minimal,0,12673
686897,22,Female,2,1,50_clockwork3_single__122200001022_shape_set_17_T.jpeg,paired,1,7710
686903,24,Female,1,2,15_double__0000110211121011_shape_set_17_T.jpeg,paired,1,28998
686903,24,Female,1,2,16_grid_single__1012121112021101_shape_set_20_T.jpeg,minimal,1,10835
686903,24,Female,1,2,17_double__1222110111201012_shape_set_4_T.jpeg,paired,0,15895
686903,24,Female,1,2,18_flower_double__1022102200000100010000000200122101000000_shape_set_17_T.jpeg,minimal,0,21213
686903,24,Female,1,2,19_single__101112201212_shape_set_20_T.jpeg,minimal,0,12357
686903,24,Female,1,2,20_double__1221010010220000_shape_set_4_T.jpeg,paired,1,12738
686903,24,Female,1,2,21_triple__100111201112121010221202_shape_set_17_T.jpeg,minimal,0,26512
686903,24,Female,1,2,22_single__112212211220_shape_set_20_T.jpeg,minimal,1,6923
686903,24,Female,1,2,23_grid_single__1110120212111121_shape_set_4_T.jpeg,minimal,0,16388
686903,24,Female,1,2,24_grid_triple__010011220200122002000200100110021212000001000200_shape_set_17_T.jpeg,paired,0,20703
686903,24,Female,1,2,25_clockwork3_single__112110110000_shape_set_20_T.jpeg,minimal,1,9051
686903,24,Female,1,2,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_4_T.jpeg,paired,0,19574
686903,24,Female,1,2,27_double__1020020012121122_shape_set_17_T.jpeg,minimal,0,12720
