seed,param,trial,latent,predicted,stdev
73,theta,1,0.883742,1.1904,0.534531
73,theta,2,-0.359107,-0.065183,0.503693
73,theta,3,-1.18966,-0.921103,0.53703
73,theta,4,0.109637,-0.327374,0.417448
73,theta,5,0.423029,0.51191,0.451212
73,theta,6,-0.443861,-0.38019,0.438876
73,theta,7,0.626282,0.640951,0.460362
73,theta,8,-2.44891,-1.50003,0.529143
73,theta,9,-0.267648,-0.130159,0.436605
73,theta,10,0.853388,0.338498,0.459777
73,theta,11,-1.218146,0.23269,0.495136
73,theta,12,-2.422717,-1.74016,0.587899
73,theta,13,0.971395,0.922078,0.481932
73,theta,14,-1.31887,-0.704416,0.439105
73,theta,15,-0.574772,-0.739974,0.50811
73,theta,16,-0.683228,-0.888012,0.516861
73,theta,17,0.148838,0.203,0.423627
73,theta,18,-1.995287,-1.384875,0.54806
73,theta,19,0.61203,-0.044056,0.4365
73,theta,20,0.031492,0.312696,0.439663
73,theta,21,1.551841,1.3494,0.541695
73,theta,22,1.790195,1.162105,0.525631
73,theta,23,1.284384,0.54096,0.448878
73,theta,24,-0.211375,-0.100922,0.405406
73,theta,25,-0.180627,-0.258708,0.493736
73,theta,26,-0.046637,-0.438679,0.48671
73,theta,27,-0.107386,-0.101064,0.46025
73,theta,28,-0.387663,-1.310125,0.546195
73,theta,29,0.409502,0.8673,0.527259
73,theta,30,0.518021,1.151405,0.508649
73,theta,31,-0.473154,0.473205,0.553645
73,theta,32,0.573898,0.713894,0.481737
73,theta,33,0.674679,0.784966,0.434109
73,theta,34,1.557184,1.344435,0.515101
73,theta,35,1.486555,0.691211,0.49991
73,theta,36,-1.516684,-0.943769,0.489489
73,theta,37,-1.373308,-1.33133,0.526285
73,theta,38,-0.262347,-0.171245,0.405167
73,theta,39,0.267759,-0.332637,0.521914
73,theta,40,0.811634,0.253055,0.46989
73,theta,41,-0.089409,-0.915,0.484934
73,theta,42,-0.694785,-0.602114,0.482988
73,theta,43,0.948461,0.477394,0.481971
73,theta,44,0.33874,0.317648,0.450692
73,theta,45,-0.14,-0.011422,0.407687
73,theta,46,0.310644,0.116088,0.427066
73,theta,47,-0.882811,-1.19304,0.502824
73,theta,48,1.259511,0.183426,0.474236
73,theta,49,0.226157,-0.233757,0.453862
73,theta,50,-1.82119,-1.26287,0.528191
73,theta,51,-0.851926,-1.353105,0.520936
73,theta,52,1.780042,1.555195,0.553605
73,theta,53,0.397145,1.15785,0.536336
73,theta,54,0.596717,0.614407,0.447955
73,theta,55,-0.978646,-0.837788,0.490268
73,theta,56,2.33472,1.944915,0.621975
73,theta,57,-0.344898,-0.632716,0.521176
73,theta,58,-1.572036,-0.534105,0.436605
73,theta,59,-0.497001,0.00674,0.414941
73,theta,60,-0.290869,-0.83883,0.481538
73,theta,61,0.655909,0.956918,0.487765
73,theta,62,0.461679,0.884512,0.477448
73,theta,63,1.50003,0.853133,0.48213
73,theta,64,-0.501097,0.101815,0.454319
73,theta,65,-0.175933,-0.116346,0.468394
73,theta,66,0.099313,0.019936,0.414309
73,theta,67,0.025957,-0.061362,0.42774
73,theta,68,-0.044366,-0.272167,0.402582
73,theta,69,0.355197,0.628008,0.444101
73,theta,70,-0.851556,-0.830767,0.489251
73,theta,71,0.298248,-0.292124,0.463061
73,theta,72,-0.084223,0.858718,0.497628
73,theta,73,0.944335,0.862132,0.476904
73,theta,74,-1.071757,-1.281955,0.524399
73,theta,75,-1.928962,-1.53829,0.553693
73,theta,76,-1.652004,-1.19954,0.531665
73,theta,77,1.954151,1.45117,0.594711
73,theta,78,2.174534,1.176035,0.513133
73,theta,79,0.54386,1.016495,0.505873
73,theta,80,0.745504,0.634948,0.482105
73,theta,81,-0.153226,-0.551042,0.4698
73,theta,82,0.807898,1.220615,0.532759
73,theta,83,-0.670465,-1.086475,0.497343
73,theta,84,-1.734651,-1.59027,0.572204
73,theta,85,0.188973,0.339366,0.457304
73,theta,86,-0.516121,-0.607842,0.450416
73,theta,87,0.805794,0.90831,0.48071
73,theta,88,1.572279,1.5377,0.568165
