subject	trial	dimension	item	accuracy	rt	w_hat	Y_hat	Y_pred	WAIC
1gbumjgvj8h8v6uiq4vwef7w	5	4	16	1.0	10.746	0.051572110604400236	0.867	0.8668162035901066	-0.15248853184169486
1gbumjgvj8h8v6uiq4vwef7w	6	4	17	1.0	26.165	0.29030360034662966	0.45175	0.44641645848346395	-0.8922980755696466
1gbumjgvj8h8v6uiq4vwef7w	7	5	52	0.0	8.893	0.05215100401041985	0.2995	0.6860864068609723	-0.4300720206082643
1gbumjgvj8h8v6uiq4vwef7w	8	5	59	0.0	13.32	0.05996718370192723	0.1945	0.8052289617430397	-0.23975064582885283
1i2nvqvazywxiayn3v5v16ej	2	2	6	0.0	2.646	0.6171333687871398	0.4255	0.5714396389138849	-0.5967348988867671
1i2nvqvazywxiayn3v5v16ej	3	3	11	0.0	1.658	0.9512202252284478	0.256	0.734532097605956	-0.3097748922031414
1i2nvqvazywxiayn3v5v16ej	4	3	18	0.0	0.838	0.9987038781987865	0.24975	0.7494123013289764	-0.28850198007622196
1i2nvqvazywxiayn3v5v16ej	5	4	16	0.0	0.977	0.9973315046386663	0.251	0.7482838697392986	-0.29007692813993835
1i2nvqvazywxiayn3v5v16ej	6	4	17	0.0	3.295	0.36836369758943993	0.4375	0.5634924382291531	-0.6360540722273058
1i2nvqvazywxiayn3v5v16ej	7	5	14	0.0	2.05	0.8574101577109964	0.27225	0.7317291149346138	-0.3155678820246133
1i2nvqvazywxiayn3v5v16ej	8	5	26	1.0	1.331	0.9856056866581971	0.265	0.25323848026642176	-1.3745257491274627
1wt4mr7p6qdp72srb0u5esx0	1	2	19	1.0	10.467	0.0512422744155684	0.85025	0.8452683652445903	-0.1776584606653681
1wt4mr7p6qdp72srb0u5esx0	2	2	20	1.0	10.877	0.051770032697191465	0.833	0.8358763890424823	-0.19181648036038532
1wt4mr7p6qdp72srb0u5esx0	3	3	15	0.0	11.836	0.05399956222018414	0.6455	0.35627640904100644	-1.2213693308280154
1wt4mr7p6qdp72srb0u5esx0	4	3	10	1.0	12.809	0.05757587838285234	0.71425	0.7092871799819147	-0.3833740043685271
1wt4mr7p6qdp72srb0u5esx0	5	4	12	0.0	4.198	0.18553398825785405	0.494	0.5139377130476541	-0.7493104629107837
1wt4mr7p6qdp72srb0u5esx0	6	4	23	1.0	19.466	0.1214331349482071	0.8445	0.8389911635250884	-0.18151611683476326
1wt4mr7p6qdp72srb0u5esx0	7	5	14	1.0	24.656	0.24162238198638322	0.4785	0.47777578070573723	-0.8403255059371209
1wt4mr7p6qdp72srb0u5esx0	8	5	26	1.0	27.824	0.3488317684995962	0.51375	0.5127645478653485	-0.739828533911292
1zskm2bzi8y5p5g4j8qhpdz6	1	2	19	1.0	7.679	0.057568118790550786	0.7825	0.7958867963954627	-0.24538456659579053
