name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[18]	2.2	0.01	0.62	1.3	2.1	3.3	3638.0	17.0	1.0
alpha[19]	-0.012	0.0046	0.33	-0.56	-0.011	0.52	5019.0	23.0	1.0
alpha[20]	-0.28	0.0049	0.32	-0.81	-0.28	0.24	4268.0	20.0	1.0
alpha[21]	1.5	0.0082	0.47	0.79	1.4	2.3	3366.0	15.0	1.0
alpha[22]	-1.2	0.0059	0.37	-1.8	-1.2	-0.66	3878.0	18.0	1.0
alpha[23]	-0.17	0.0048	0.34	-0.72	-0.18	0.39	4977.0	23.0	1.0
alpha[24]	1.5	0.017	0.41	0.88	1.4	2.2	545.0	2.5	1.0
alpha[25]	-1.6	0.0082	0.44	-2.4	-1.6	-0.97	2939.0	13.0	1.0
alpha[26]	1.7	0.009	0.46	1.1	1.7	2.6	2654.0	12.0	1.0
alpha[27]	0.37	0.0053	0.35	-0.19	0.35	0.99	4461.0	20.0	1.0
alpha[28]	-0.62	0.0043	0.31	-1.2	-0.61	-0.13	5069.0	23.0	1.0
alpha[29]	-0.049	0.0043	0.28	-0.5	-0.059	0.42	4090.0	19.0	1.0
alpha[30]	-1.3	0.0061	0.38	-2.0	-1.3	-0.76	3899.0	18.0	1.0
alpha[31]	0.19	0.0047	0.3	-0.29	0.18	0.7	4172.0	19.0	1.0
alpha[32]	-0.5	0.005	0.3	-1.0	-0.49	-0.024	3583.0	16.0	1.0
alpha[33]	-0.14	0.0057	0.39	-0.77	-0.15	0.52	4787.0	22.0	1.0
alpha[34]	1.5	0.0084	0.52	0.75	1.5	2.4	3841.0	18.0	1.0
alpha[35]	0.64	0.0054	0.37	0.07	0.63	1.3	4723.0	22.0	1.0
alpha[36]	1.9	0.012	0.68	0.92	1.8	3.1	3073.0	14.0	1.0
alpha[37]	0.53	0.0066	0.44	-0.11	0.5	1.3	4316.0	20.0	1.0
alpha[38]	-2.0	0.011	0.45	-2.8	-2.0	-1.3	1624.0	7.4	1.0
alpha[39]	-0.047	0.0064	0.43	-0.71	-0.068	0.68	4593.0	21.0	1.0
alpha[40]	0.37	0.0069	0.48	-0.35	0.33	1.2	4721.0	22.0	1.0
alpha[41]	-1.9	0.0077	0.52	-2.8	-1.9	-1.1	4587.0	21.0	1.0
alpha[42]	1.1	0.011	0.65	0.19	1.0	2.3	3492.0	16.0	1.0
alpha[43]	0.33	0.0074	0.54	-0.48	0.29	1.3	5289.0	24.0	1.0
alpha[44]	2.4	0.016	0.94	1.1	2.2	4.1	3557.0	16.0	1.0
alpha[45]	-0.27	0.0071	0.5	-1.0	-0.3	0.59	4910.0	23.0	1.0
alpha[46]	0.93	0.013	0.78	-0.15	0.83	2.3	3873.0	18.0	1.0
alpha[47]	1.3	0.013	0.79	0.22	1.1	2.7	3728.0	17.0	1.0
alpha[48]	0.045	0.01	0.56	-0.74	-0.024	1.0	2905.0	13.0	1.0
alpha[49]	-1.5	0.0074	0.52	-2.3	-1.5	-0.63	5049.0	23.0	1.0
alpha[50]	-0.68	0.0081	0.58	-1.6	-0.7	0.27	5267.0	24.0	1.0
alpha[51]	-0.05	0.01	0.61	-0.93	-0.1	1.0	3486.0	16.0	1.0
alpha[52]	1.1	0.015	0.91	-0.14	0.97	2.8	3491.0	16.0	1.0
alpha[53]	1.5	0.017	1.0	0.16	1.4	3.5	3423.0	16.0	1.0
alpha[54]	2.7	0.019	1.1	1.2	2.5	4.6	3181.0	15.0	1.0
alpha[55]	1.2	0.018	1.0	-0.16	1.0	3.0	3247.0	15.0	1.0
alpha[56]	1.9	0.019	1.1	0.35	1.7	3.9	3388.0	16.0	1.0
alpha[57]	0.28	0.015	0.87	-0.93	0.15	1.9	3471.0	16.0	1.0
alpha[58]	1.0	0.017	1.0	-0.36	0.84	2.9	3731.0	17.0	1.0
alpha[59]	2.2	0.017	1.1	0.61	2.1	4.3	4333.0	20.0	1.0
alpha[60]	1.2	0.019	1.1	-0.29	0.98	3.1	3154.0	14.0	1.0
alpha[61]	2.0	0.018	1.1	0.41	1.9	4.1	4011.0	18.0	1.0
alpha[62]	0.47	0.017	0.98	-0.84	0.32	2.2	3290.0	15.0	1.0
alpha[63]	2.0	0.018	1.2	0.24	1.9	4.2	4756.0	22.0	1.0
alpha[64]	1.1	0.018	1.2	-0.42	0.95	3.3	3900.0	18.0	1.0
alpha[65]	1.5	0.017	1.2	-0.2	1.3	3.6	4699.0	22.0	1.0
alpha[66]	2.0	0.018	1.2	0.26	1.8	4.1	4105.0	19.0	1.0
alpha[67]	1.0	0.019	1.2	-0.57	0.86	3.2	3606.0	17.0	1.0
alpha[68]	-2.3	0.01	0.74	-3.6	-2.3	-1.2	5129.0	24.0	1.0
