item,Q1,p
1,8.162828322686497,0.0134
2,6.581488668278011,0.0257
3,9.13300325985486,0.0141
4,6.1265967791859675,0.0018
5,15.083744470550288,0.3392
6,11.797515566109862,0.0836
7,10.815614885003997,0.0225
8,10.764692406349353,0.0226
9,22.88713716475193,0.9999
10,5.954085670308971,0.0025
11,14.572675416462111,0.2464
12,8.720700367398301,0.0132
13,11.751997792352089,0.0661
14,6.671592771833131,0.0035
15,18.511921653609058,0.906
16,7.149746117110716,0.0126
17,11.201610724627786,0.0744
18,5.777637182407423,0.002
19,8.407619756952245,0.0123
20,7.909750668643281,0.0074
21,27.06198116341629,0.9997
22,10.379807331448653,0.0757
23,6.9487892145314,0.0047
24,7.742154900140462,0.0135
25,19.729654550872354,0.8803
26,11.482787484054812,0.0434
27,8.06490829517947,0.014
28,12.165958963507295,0.1606
29,11.956788338058015,0.0685
30,10.07532316147307,0.0433
31,16.47344053088795,0.6759
32,14.184375416508876,0.2715
33,13.924014862452273,0.2164
34,12.826298191734734,0.1795
35,22.644641173455494,1.0
36,11.092923875156652,0.029
37,13.651241394393725,0.1949
38,10.381266359982355,0.0233
39,5.9730950210791,0.0019
40,11.75981633542638,0.0582
41,9.045986705410646,0.0244
42,10.388974068933662,0.0323
43,11.943863730047179,0.0748
44,8.727720101174322,0.015
45,7.586229033167861,0.0112
46,5.860832626953776,0.0019
47,9.80727407257468,0.0119
48,9.019832552171016,0.0153
49,7.802264530322017,0.0165
50,11.064044434544382,0.0382
51,13.641505769524956,0.2229
52,7.244072802969303,0.0079
53,16.971209059709437,0.9469
54,5.538839644731602,0.0023
55,8.643726425285577,0.0099
56,5.696982415598782,0.0017
57,7.105465254699049,0.0016
58,9.439351751962077,0.0171
59,18.067430280727272,0.8007
60,3.458410554545316,0.0003
61,7.974758977620772,0.0004
62,17.079156096874193,0.7191
63,15.941874875672598,0.5379
64,9.790727851876623,0.0323
65,11.357986144685661,0.0435
66,20.09733333953452,0.9811
67,9.959163496451168,0.0113
68,12.921544722680869,0.1401
69,5.789673977104491,0.0063
70,13.856952270008216,0.2559
71,9.961754533102468,0.0257
72,12.832377756286462,0.1523
73,10.29653201871503,0.0278
74,12.182036644390225,0.117
75,7.821702881652824,0.0082
76,16.728283793764447,0.6691
77,12.698081265349764,0.1036
78,7.866192892022249,0.0109
79,18.867006301644498,1.0
80,13.975293975047208,0.2535
81,11.79025834216379,0.082
82,10.901670676155893,0.044
83,20.443865023635247,0.9976
84,14.049348541970344,0.1843
85,10.59564506280926,0.0289
86,12.896608758701873,0.1924
87,12.60343529633109,0.0288
88,11.28932349945908,0.0474
89,12.038047216637077,0.0555
90,18.434582132257027,0.9249
91,12.59112720041049,0.075
92,7.612505288571108,0.0048
93,9.564956483425778,0.0372
94,6.028003474217084,0.0087
95,26.8362269305803,1.0
96,20.344096624648998,0.941
97,16.909166415696205,0.6737
98,12.258169690348995,0.0748
99,17.976337644695626,0.7838
100,10.267286038149306,0.0617
101,14.702604765431344,0.3496
102,13.309527161348322,0.169
103,8.157527455653938,0.0056
104,7.306556913424512,0.0049
105,16.023100212319008,0.5372
106,14.484969721979025,0.3015
107,8.446441911574434,0.0292
108,16.169401665751447,0.4342
109,8.86896584966713,0.0362
110,19.93774821376448,0.8227
111,17.92333196237118,0.797
112,6.895108783274266,0.0038
113,8.243104345699814,0.0093
114,14.262580137094405,0.2608
115,14.938324604999638,0.3339
116,16.621718007224636,0.6436
117,11.58606350670721,0.0491
118,13.445430195129637,0.1906
119,10.962613306009013,0.0479
120,10.896396516772784,0.032
121,7.39882099055836,0.0047
122,13.332881354126508,0.2418
123,21.11728079589088,0.9755
124,10.163120991211107,0.0195
125,12.17504421465374,0.038
126,16.900684671052016,0.6992
127,11.090878158953984,0.0353
128,11.426268690110444,0.0494
