name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta_mu[1]	-0.65	0.00112	0.0857	-0.794	-0.646	-0.516	5863.0	3.7	1.0
theta_mu[2]	0.248	0.000766	0.0614	0.148	0.248	0.348	6420.0	4.05	1.0
theta_mu[3]	1.16	0.00265	0.192	0.901	1.14	1.51	5287.0	3.34	1.0
theta_mu[4]	0.821	0.00155	0.116	0.643	0.815	1.03	5578.0	3.52	1.0
theta_pr[1]	-0.517	0.0038	0.597	-1.51	-0.529	0.463	24667.0	15.6	1.0
theta_pr[2]	0.4	0.00379	0.615	-0.594	0.389	1.41	26359.0	16.6	1.0
theta_pr[3]	0.927	0.00397	0.622	-0.0762	0.921	1.95	24466.0	15.4	1.0
theta_pr[4]	0.454	0.00374	0.583	-0.492	0.451	1.42	24323.0	15.4	1.0
theta_pr[5]	0.693	0.00392	0.598	-0.282	0.686	1.71	23268.0	14.7	1.0
theta_pr[6]	0.728	0.00434	0.641	-0.308	0.719	1.8	21836.0	13.8	1.0
theta_pr[7]	-0.0471	0.00402	0.631	-1.07	-0.0505	1.0	24699.0	15.6	1.0
theta_pr[8]	-0.87	0.00394	0.605	-1.85	-0.876	0.128	23584.0	14.9	1.0
theta_pr[9]	-0.0482	0.00397	0.587	-0.998	-0.0488	0.918	21869.0	13.8	1.0
theta_pr[10]	0.204	0.00403	0.593	-0.769	0.207	1.19	21644.0	13.7	1.0
theta_pr[11]	1.23	0.00465	0.697	0.111	1.2	2.4	22410.0	14.1	1.0
theta_pr[12]	-0.533	0.00388	0.613	-1.54	-0.54	0.498	24959.0	15.8	1.0
theta_pr[13]	0.0653	0.00372	0.595	-0.916	0.0713	1.03	25577.0	16.1	1.0
theta_pr[14]	-0.34	0.00411	0.611	-1.35	-0.338	0.649	22085.0	13.9	1.0
theta_pr[15]	0.296	0.00441	0.664	-0.771	0.281	1.4	22615.0	14.3	1.0
theta_pr[16]	0.257	0.00381	0.594	-0.722	0.263	1.23	24300.0	15.3	1.0
theta_pr[17]	-0.642	0.00372	0.58	-1.59	-0.648	0.321	24371.0	15.4	1.0
theta_pr[18]	-0.999	0.00392	0.596	-1.99	-0.993	-0.0356	23097.0	14.6	1.0
theta_pr[19]	-0.378	0.00388	0.59	-1.33	-0.374	0.588	23067.0	14.6	1.0
theta_pr[20]	-0.522	0.0037	0.583	-1.49	-0.521	0.438	24822.0	15.7	1.0
theta_pr[21]	0.35	0.00404	0.618	-0.657	0.332	1.4	23323.0	14.7	1.0
theta_pr[22]	-0.751	0.00376	0.574	-1.68	-0.756	0.195	23296.0	14.7	1.0
theta_pr[23]	1.52	0.00422	0.664	0.45	1.5	2.65	24757.0	15.6	1.0
theta_pr[24]	-0.622	0.00414	0.601	-1.6	-0.628	0.38	20990.0	13.3	1.0
theta_pr[25]	-0.678	0.00397	0.584	-1.64	-0.678	0.293	21593.0	13.6	1.0
theta_pr[26]	0.0684	0.0041	0.625	-0.932	0.0486	1.11	23276.0	14.7	1.0
theta_pr[27]	-0.415	0.00367	0.582	-1.37	-0.419	0.567	25108.0	15.9	1.0
theta_pr[28]	0.174	0.00413	0.631	-0.844	0.164	1.22	23356.0	14.7	1.0
theta_pr[29]	0.138	0.00433	0.636	-0.886	0.124	1.2	21544.0	13.6	1.0
theta_pr[30]	0.042	0.00422	0.608	-0.947	0.0363	1.06	20731.0	13.1	1.0
theta_pr[31]	-0.12	0.00391	0.605	-1.11	-0.129	0.896	23901.0	15.1	1.0
theta_pr[32]	0.431	0.00396	0.592	-0.524	0.429	1.42	22271.0	14.1	1.0
theta_pr[33]	-1.09	0.00479	0.7	-2.26	-1.08	0.0464	21331.0	13.5	1.0
theta_pr[34]	-0.274	0.00397	0.585	-1.24	-0.272	0.685	21725.0	13.7	1.0
theta_pr[35]	0.214	0.0043	0.65	-0.828	0.194	1.31	22899.0	14.5	1.0
theta_pr[36]	0.167	0.00407	0.61	-0.833	0.161	1.17	22426.0	14.2	1.0
theta_pr[37]	0.219	0.00399	0.606	-0.776	0.215	1.22	23081.0	14.6	1.0
theta_pr[38]	0.0731	0.00399	0.604	-0.901	0.0651	1.07	22983.0	14.5	1.0
theta_pr[39]	-0.665	0.00365	0.575	-1.62	-0.668	0.28	24865.0	15.7	1.0
theta_pr[40]	-0.348	0.00387	0.588	-1.3	-0.344	0.619	23059.0	14.6	1.0
theta_pr[41]	0.47	0.00428	0.642	-0.565	0.459	1.55	22555.0	14.2	1.0
theta_pr[42]	0.0165	0.0038	0.588	-0.946	0.00723	1.0	23919.0	15.1	1.0
theta_pr[43]	-0.254	0.00393	0.626	-1.28	-0.266	0.786	25364.0	16.0	1.0
theta_pr[44]	-0.169	0.0038	0.575	-1.12	-0.167	0.783	22926.0	14.5	1.0
theta_pr[45]	-0.476	0.00389	0.618	-1.5	-0.471	0.542	25258.0	15.9	1.0
theta_pr[46]	0.387	0.00394	0.616	-0.61	0.379	1.42	24407.0	15.4	1.0
theta_pr[47]	0.32	0.00365	0.586	-0.626	0.313	1.31	25794.0	16.3	1.0
theta_pr[48]	-1.34	0.00387	0.594	-2.32	-1.34	-0.366	23566.0	14.9	1.0
theta_pr[49]	-1.06	0.00414	0.605	-2.06	-1.06	-0.0776	21338.0	13.5	1.0
theta_pr[50]	0.816	0.00401	0.593	-0.158	0.817	1.8	21884.0	13.8	1.0
theta_pr[51]	-0.172	0.00398	0.603	-1.16	-0.175	0.825	22906.0	14.5	1.0
theta_pr[52]	0.739	0.00386	0.586	-0.227	0.736	1.7	22965.0	14.5	1.0
theta_pr[53]	0.355	0.00378	0.581	-0.592	0.349	1.32	23659.0	14.9	1.0
theta_pr[54]	-0.0738	0.00392	0.618	-1.08	-0.0772	0.963	24884.0	15.7	1.0
theta_pr[55]	-0.0701	0.004	0.586	-1.03	-0.0743	0.881	21502.0	13.6	1.0
theta_pr[56]	-0.498	0.00387	0.58	-1.44	-0.499	0.458	22413.0	14.2	1.0
theta_pr[57]	0.312	0.00382	0.597	-0.668	0.314	1.31	24442.0	15.4	1.0
theta_pr[58]	0.483	0.0041	0.632	-0.542	0.473	1.54	23822.0	15.0	1.0
theta_pr[59]	-0.458	0.004	0.598	-1.43	-0.468	0.547	22295.0	14.1	1.0
theta_pr[60]	-0.62	0.00404	0.594	-1.59	-0.618	0.361	21553.0	13.6	1.0
theta_pr[61]	-0.127	0.00419	0.636	-1.18	-0.119	0.91	23049.0	14.6	1.0
theta_pr[62]	-0.0164	0.00408	0.622	-1.02	-0.0193	1.01	23185.0	14.6	1.0
theta_pr[63]	0.459	0.00403	0.641	-0.62	0.466	1.51	25323.0	16.0	1.0
theta_pr[64]	-0.481	0.00389	0.594	-1.44	-0.48	0.498	23233.0	14.7	1.0
theta_pr[65]	0.566	0.00394	0.599	-0.425	0.578	1.54	23078.0	14.6	1.0
theta_pr[66]	0.518	0.00418	0.608	-0.456	0.515	1.54	21172.0	13.4	1.0
theta_pr[67]	-0.011	0.0042	0.652	-1.07	-0.0208	1.08	24131.0	15.2	1.0
theta_pr[68]	0.509	0.00436	0.686	-0.601	0.493	1.67	24746.0	15.6	1.0
theta_pr[69]	0.0533	0.00395	0.597	-0.917	0.0518	1.05	22771.0	14.4	1.0
theta_pr[70]	0.279	0.00392	0.599	-0.732	0.287	1.26	23421.0	14.8	1.0
theta_pr[71]	0.0807	0.0042	0.612	-0.933	0.0777	1.07	21254.0	13.4	1.0
theta_pr[72]	-0.159	0.00407	0.608	-1.15	-0.162	0.835	22286.0	14.1	1.0
theta_pr[73]	-1.1	0.00374	0.575	-2.06	-1.1	-0.151	23625.0	14.9	1.0
theta_pr[74]	-0.77	0.00393	0.591	-1.74	-0.776	0.213	22684.0	14.3	1.0
theta_pr[75]	-0.584	0.00351	0.585	-1.54	-0.586	0.39	27804.0	17.6	1.0
theta_pr[76]	-0.498	0.00366	0.571	-1.46	-0.497	0.446	24399.0	15.4	1.0
theta_pr[77]	1.09	0.00424	0.655	0.0273	1.07	2.19	23890.0	15.1	1.0
theta_pr[78]	-0.58	0.00384	0.592	-1.56	-0.576	0.387	23781.0	15.0	1.0
theta_pr[79]	-0.316	0.00412	0.592	-1.28	-0.314	0.647	20679.0	13.1	1.0
theta_pr[80]	-0.452	0.00373	0.581	-1.4	-0.451	0.511	24273.0	15.3	1.0
theta_pr[81]	-0.576	0.00392	0.609	-1.58	-0.564	0.409	24165.0	15.3	1.0
theta_pr[82]	-0.258	0.00394	0.613	-1.28	-0.248	0.725	24166.0	15.3	1.0
