A,B,mbc,pval
0,1,0.03858382850705085,0.9821
0,2,0.009343008490503363,0.6819
0,3,0.013969956953900294,0.7547
0,4,0.0006746708551227537,0.5131
0,5,-0.03573575391205282,0.0279
0,6,0.033255568882934294,0.9489
0,7,0.006347285533296775,0.6653
0,8,0.025609085958303017,0.8927
0,9,-0.014486610817338572,0.2056
0,12,-0.0031868517697709324,0.4324
0,14,0.004758167717051324,0.6152
0,15,-0.007386758155837254,0.3336
0,16,0.02647646548159934,0.9457
0,17,-0.002199969130399939,0.4621
0,18,-0.006446585628609971,0.3707
0,19,0.013898169142306727,0.7501
0,20,0.024178007487693297,0.884
0,21,-0.018230450432076644,0.1814
0,22,-0.011012846130084127,0.3074
0,23,-0.005068869142924621,0.3881
0,24,-0.017583294555525375,0.1589
0,25,0.01142191986820967,0.7093
0,26,-0.015546380003249425,0.1991
0,27,0.02771092344189171,0.9085
0,28,-0.005810542450913706,0.3971
0,29,0.028745465528215986,0.9245
0,30,-0.018266826242748214,0.1817
0,31,0.024663623461808344,0.8995
0,32,0.001203239764559935,0.5301
0,33,-0.0177666438861345,0.1697
0,34,-0.0014064515578592926,0.4631
0,35,-0.0248362869082532,0.069
0,36,0.004408235017504068,0.595
0,37,-0.019631240475216166,0.1703
0,38,0.004462688424770161,0.5836
0,39,-0.008024629569808444,0.3406
0,40,-0.024349178486029945,0.097
0,41,-0.003145263970228223,0.4376
0,42,-0.020646324188975787,0.1335
0,43,0.016944238074502682,0.7956
0,44,-0.013369324115896317,0.2523
0,45,0.0019827112557228256,0.5466
0,46,0.005834549778229468,0.6996
0,47,0.0016386221284765937,0.5312
0,48,-0.0034140902267060973,0.4292
0,49,0.0011281091590726888,0.5311
0,50,-0.010073997097858655,0.3148
0,51,-0.018930184114283953,0.1338
0,52,-0.013606453326803299,0.2192
0,53,0.004314022568697628,0.6605
0,54,0.029502480591014103,0.963
0,55,0.03481622720117624,0.9587
0,56,-0.036805407996067685,0.02
0,57,0.022611995593326776,0.8786
0,58,0.012999232068532174,0.7333
0,59,-0.032724810592987326,0.0464
0,60,-0.009882771793376639,0.2815
0,61,-0.025362064244700118,0.1026
0,62,-0.010911672432224693,0.2857
