name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
beta[27]	0.696	0.0026	0.35	0.139	0.685	1.29	18107.0	7.79	1.0
beta[28]	0.173	0.00259	0.346	-0.378	0.168	0.747	17833.0	7.67	1.0
beta[29]	-0.386	0.00266	0.358	-0.97	-0.388	0.211	18154.0	7.81	1.0
beta[30]	0.134	0.00263	0.344	-0.425	0.129	0.7	17192.0	7.39	1.0
beta[31]	1.27	0.00327	0.418	0.622	1.25	2.0	16380.0	7.04	1.0
beta[32]	1.92	0.00345	0.461	1.21	1.9	2.73	17882.0	7.69	1.0
beta[33]	2.3	0.00318	0.435	1.62	2.29	3.04	18680.0	8.03	1.0
beta[34]	0.732	0.0027	0.339	0.194	0.725	1.3	15839.0	6.81	1.0
beta[35]	1.01	0.00288	0.358	0.448	1.0	1.62	15412.0	6.63	1.0
beta[36]	0.798	0.0029	0.377	0.193	0.791	1.44	16928.0	7.28	1.0
beta[37]	-0.44	0.0024	0.326	-0.974	-0.444	0.0967	18504.0	7.96	1.0
beta[38]	0.576	0.00236	0.312	0.0689	0.568	1.1	17398.0	7.48	1.0
beta[39]	0.433	0.00254	0.336	-0.103	0.427	0.986	17521.0	7.53	1.0
beta[40]	-1.23	0.00248	0.355	-1.82	-1.24	-0.648	20602.0	8.86	1.0
beta[41]	-0.455	0.00245	0.33	-0.987	-0.459	0.0903	18060.0	7.77	1.0
beta[42]	-0.817	0.00234	0.335	-1.37	-0.819	-0.265	20408.0	8.78	1.0
beta[43]	-0.786	0.00274	0.343	-1.35	-0.787	-0.225	15662.0	6.73	1.0
beta[44]	-0.459	0.00263	0.331	-1.01	-0.459	0.0845	15818.0	6.8	1.0
beta[45]	0.563	0.00274	0.34	0.0119	0.554	1.14	15463.0	6.65	1.0
beta[46]	-2.64	0.00302	0.441	-3.37	-2.64	-1.93	21333.0	9.17	1.0
beta[47]	-3.03	0.00346	0.464	-3.82	-3.02	-2.29	17997.0	7.74	1.0
beta[48]	-1.95	0.00286	0.372	-2.56	-1.95	-1.34	16989.0	7.31	1.0
beta[49]	0.69	0.00257	0.349	0.129	0.679	1.29	18473.0	7.94	1.0
beta[50]	1.32	0.00278	0.383	0.722	1.3	1.97	18965.0	8.16	1.0
beta[51]	1.46	0.0029	0.388	0.842	1.44	2.12	17933.0	7.71	1.0
beta[52]	-0.444	0.00249	0.322	-0.977	-0.443	0.0865	16747.0	7.2	1.0
beta[53]	-0.06	0.00251	0.332	-0.592	-0.0666	0.501	17489.0	7.52	1.0
beta[54]	0.182	0.00257	0.339	-0.369	0.176	0.742	17467.0	7.51	1.0
beta[55]	1.55	0.00304	0.408	0.909	1.53	2.25	18001.0	7.74	1.0
beta[56]	0.72	0.00254	0.331	0.191	0.708	1.29	16918.0	7.27	1.0
beta[57]	0.808	0.00276	0.353	0.241	0.797	1.41	16439.0	7.07	1.0
beta[58]	0.775	0.0026	0.349	0.211	0.767	1.36	18092.0	7.78	1.0
beta[59]	-1.07	0.00281	0.38	-1.7	-1.07	-0.448	18275.0	7.86	1.0
beta[60]	-0.867	0.00255	0.334	-1.41	-0.866	-0.32	17231.0	7.41	1.0
beta[61]	0.278	0.00272	0.34	-0.272	0.272	0.851	15569.0	6.69	1.0
beta[62]	0.186	0.00255	0.328	-0.349	0.187	0.726	16533.0	7.11	1.0
beta[63]	0.419	0.00251	0.332	-0.114	0.411	0.975	17468.0	7.51	1.0
beta[64]	-2.0	0.00284	0.366	-2.61	-1.99	-1.41	16638.0	7.15	1.0
beta[65]	-1.53	0.00273	0.381	-2.16	-1.52	-0.918	19528.0	8.4	1.0
beta[66]	-1.3	0.00252	0.33	-1.85	-1.3	-0.768	17162.0	7.38	1.0
beta[67]	-1.54	0.00268	0.361	-2.14	-1.54	-0.956	18073.0	7.77	1.0
beta[68]	-0.855	0.00241	0.317	-1.37	-0.859	-0.334	17273.0	7.43	1.0
beta[69]	-0.749	0.00235	0.331	-1.29	-0.754	-0.2	19775.0	8.5	1.0
beta[70]	-1.34	0.0025	0.332	-1.9	-1.34	-0.798	17632.0	7.58	1.0
beta[71]	-0.1	0.00256	0.319	-0.621	-0.103	0.43	15566.0	6.69	1.0
beta[72]	-0.929	0.00248	0.335	-1.49	-0.926	-0.384	18142.0	7.8	1.0
beta[73]	1.03	0.00267	0.342	0.483	1.02	1.6	16396.0	7.05	1.0
beta[74]	1.66	0.00316	0.431	0.987	1.63	2.4	18517.0	7.96	1.0
beta[75]	1.54	0.00314	0.414	0.912	1.52	2.27	17396.0	7.48	1.0
beta[76]	0.75	0.00292	0.377	0.14	0.741	1.38	16747.0	7.2	1.0
beta[77]	0.945	0.00284	0.357	0.379	0.933	1.55	15853.0	6.82	1.0
beta[78]	0.793	0.00279	0.374	0.202	0.779	1.43	17976.0	7.73	1.0
beta[79]	-0.812	0.00251	0.342	-1.38	-0.81	-0.259	18554.0	7.98	1.0
beta[80]	-0.329	0.00256	0.341	-0.884	-0.334	0.249	17807.0	7.66	1.0
beta[81]	-0.184	0.00258	0.308	-0.687	-0.186	0.326	14291.0	6.15	1.0
