name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[592]	0.266	0.00396	0.56	-0.663	0.272	1.18	20001.0	4.35	1.0
theta[593]	0.517	0.00384	0.558	-0.407	0.524	1.41	21059.0	4.58	1.0
theta[594]	0.414	0.00426	0.594	-0.588	0.432	1.36	19394.0	4.22	1.0
theta[595]	-1.41	0.00442	0.657	-2.54	-1.38	-0.379	22056.0	4.8	1.0
theta[596]	-0.47	0.00347	0.504	-1.34	-0.455	0.333	21007.0	4.57	1.0
theta[597]	0.885	0.00375	0.555	-0.0311	0.89	1.78	21954.0	4.78	1.0
theta[598]	0.126	0.00386	0.549	-0.8	0.14	1.01	20267.0	4.41	1.0
theta[599]	-1.21	0.00449	0.619	-2.28	-1.18	-0.274	19017.0	4.14	1.0
theta[600]	0.697	0.00414	0.583	-0.263	0.699	1.65	19780.0	4.31	1.0
theta[601]	-0.905	0.00366	0.507	-1.8	-0.873	-0.113	19201.0	4.18	1.0
theta[602]	1.46	0.00408	0.599	0.494	1.45	2.47	21572.0	4.7	1.0
theta[603]	0.13	0.00382	0.568	-0.839	0.144	1.03	22185.0	4.83	1.0
theta[604]	0.728	0.0042	0.592	-0.269	0.733	1.69	19830.0	4.32	1.0
theta[605]	-0.392	0.00418	0.573	-1.36	-0.378	0.524	18781.0	4.09	1.0
theta[606]	0.28	0.00343	0.52	-0.574	0.281	1.12	22875.0	4.98	1.0
theta[607]	1.51	0.00426	0.618	0.533	1.49	2.57	21072.0	4.59	1.0
theta[608]	-1.64	0.00399	0.577	-2.61	-1.62	-0.735	20943.0	4.56	1.0
theta[609]	0.519	0.00381	0.531	-0.342	0.517	1.4	19389.0	4.22	1.0
theta[610]	1.36	0.00438	0.635	0.324	1.35	2.41	21037.0	4.58	1.0
theta[611]	0.0255	0.00351	0.508	-0.832	0.0351	0.834	20937.0	4.56	1.0
theta[612]	0.261	0.00379	0.549	-0.634	0.266	1.14	20919.0	4.55	1.0
theta[613]	0.121	0.00358	0.527	-0.742	0.124	0.971	21638.0	4.71	1.0
theta[614]	-0.0765	0.00376	0.528	-0.953	-0.0684	0.77	19713.0	4.29	1.0
theta[615]	0.149	0.00471	0.65	-0.964	0.163	1.18	19027.0	4.14	1.0
theta[616]	1.52	0.00422	0.603	0.568	1.5	2.53	20404.0	4.44	1.0
theta[617]	-0.189	0.00384	0.537	-1.09	-0.177	0.663	19573.0	4.26	1.0
theta[618]	-0.116	0.00381	0.536	-1.04	-0.0967	0.731	19778.0	4.31	1.0
theta[619]	-0.196	0.00449	0.567	-1.13	-0.182	0.721	15937.0	3.47	1.0
theta[620]	-0.997	0.00406	0.564	-1.96	-0.97	-0.126	19289.0	4.2	1.0
theta[621]	-1.47	0.00413	0.576	-2.46	-1.45	-0.575	19465.0	4.24	1.0
theta[622]	1.46	0.00408	0.585	0.518	1.45	2.45	20558.0	4.48	1.0
theta[623]	0.825	0.00449	0.624	-0.234	0.835	1.85	19325.0	4.21	1.0
theta[624]	0.775	0.00424	0.59	-0.215	0.78	1.74	19336.0	4.21	1.0
theta[625]	0.677	0.00346	0.508	-0.156	0.675	1.5	21540.0	4.69	1.0
theta[626]	-1.57	0.00459	0.617	-2.64	-1.52	-0.627	18075.0	3.94	1.0
theta[627]	1.29	0.00404	0.632	0.293	1.29	2.36	24503.0	5.33	1.0
theta[628]	-0.717	0.00424	0.573	-1.68	-0.688	0.167	18239.0	3.97	1.0
theta[629]	-0.66	0.0039	0.515	-1.57	-0.622	0.124	17428.0	3.79	1.0
theta[630]	-0.335	0.00375	0.525	-1.23	-0.314	0.491	19661.0	4.28	1.0
theta[631]	-0.524	0.00402	0.535	-1.42	-0.505	0.317	17737.0	3.86	1.0
theta[632]	-0.265	0.0038	0.546	-1.18	-0.257	0.612	20662.0	4.5	1.0
theta[633]	-1.06	0.00443	0.616	-2.13	-1.02	-0.0981	19331.0	4.21	1.0
theta[634]	-0.00288	0.00461	0.578	-0.954	0.00598	0.94	15716.0	3.42	1.0
theta[635]	-1.33	0.00396	0.524	-2.24	-1.3	-0.523	17473.0	3.8	1.0
theta[636]	0.428	0.00339	0.524	-0.433	0.426	1.3	23909.0	5.21	1.0
theta[637]	0.159	0.0039	0.597	-0.833	0.166	1.13	23378.0	5.09	1.0
theta[638]	0.0351	0.00383	0.533	-0.864	0.043	0.895	19401.0	4.22	1.0
theta[639]	0.299	0.00404	0.578	-0.666	0.31	1.22	20403.0	4.44	1.0
theta[640]	-0.944	0.004	0.553	-1.91	-0.91	-0.084	19042.0	4.15	1.0
theta[641]	-0.591	0.0039	0.557	-1.55	-0.573	0.277	20389.0	4.44	1.0
theta[642]	1.13	0.00398	0.575	0.221	1.12	2.09	20893.0	4.55	1.0
theta[643]	0.175	0.00369	0.553	-0.72	0.174	1.09	22424.0	4.88	1.0
theta[644]	1.17	0.00416	0.606	0.188	1.17	2.19	21222.0	4.62	1.0
theta[645]	0.249	0.00392	0.559	-0.669	0.256	1.16	20406.0	4.44	1.0
theta[646]	-0.255	0.00409	0.564	-1.19	-0.231	0.628	19021.0	4.14	1.0
theta[647]	-1.31	0.00406	0.55	-2.26	-1.28	-0.444	18406.0	4.01	1.0
theta[648]	0.0103	0.00372	0.518	-0.868	0.029	0.823	19425.0	4.23	1.0
theta[649]	0.542	0.0042	0.608	-0.433	0.534	1.57	20950.0	4.56	1.0
theta[650]	1.1	0.00405	0.587	0.169	1.09	2.09	21056.0	4.58	1.0
theta[651]	0.131	0.00376	0.529	-0.754	0.137	0.989	19771.0	4.3	1.0
theta[652]	0.272	0.00365	0.557	-0.648	0.272	1.19	23256.0	5.06	1.0
theta[653]	-1.32	0.005	0.653	-2.47	-1.27	-0.327	17050.0	3.71	1.0
theta[654]	-0.527	0.00361	0.572	-1.5	-0.509	0.398	25125.0	5.47	1.0
theta[655]	0.704	0.00364	0.54	-0.174	0.695	1.6	22024.0	4.79	1.0
theta[656]	-1.34	0.00385	0.587	-2.38	-1.31	-0.441	23261.0	5.06	1.0
theta[657]	0.0933	0.00352	0.505	-0.763	0.107	0.902	20524.0	4.47	1.0
theta[658]	0.24	0.00381	0.548	-0.669	0.25	1.13	20698.0	4.51	1.0
theta[659]	-0.587	0.00414	0.594	-1.62	-0.548	0.319	20641.0	4.49	1.0
theta[660]	-1.43	0.00408	0.587	-2.44	-1.41	-0.517	20684.0	4.5	1.0
theta[661]	-0.925	0.00452	0.623	-1.99	-0.902	0.0448	18982.0	4.13	1.0
theta[662]	-0.138	0.00384	0.514	-1.01	-0.123	0.684	17877.0	3.89	1.0
theta[663]	0.306	0.00414	0.572	-0.651	0.325	1.21	19113.0	4.16	1.0
theta[664]	-2.01	0.00434	0.625	-3.11	-1.98	-1.03	20712.0	4.51	1.0
theta[665]	0.253	0.00367	0.545	-0.65	0.261	1.13	22044.0	4.8	1.0
theta[666]	1.18	0.00422	0.616	0.181	1.18	2.19	21318.0	4.64	1.0
theta[667]	-0.421	0.0038	0.524	-1.31	-0.398	0.4	19033.0	4.14	1.0
theta[668]	0.845	0.00449	0.628	-0.16	0.841	1.89	19554.0	4.26	1.0
theta[669]	0.295	0.00439	0.621	-0.737	0.301	1.31	20048.0	4.36	1.0
theta[670]	-0.208	0.00388	0.564	-1.17	-0.19	0.681	21117.0	4.6	1.0
theta[671]	0.0881	0.00367	0.536	-0.807	0.0926	0.975	21345.0	4.65	1.0
theta[672]	0.669	0.00394	0.575	-0.289	0.671	1.59	21285.0	4.63	1.0
theta[673]	-1.71	0.00407	0.603	-2.74	-1.68	-0.765	21917.0	4.77	1.0
theta[674]	0.281	0.00333	0.479	-0.497	0.293	1.05	20668.0	4.5	1.0
theta[675]	0.312	0.00384	0.535	-0.553	0.311	1.19	19455.0	4.24	1.0
theta[676]	-0.633	0.00408	0.577	-1.61	-0.62	0.299	19960.0	4.35	1.0
theta[677]	0.126	0.00344	0.522	-0.726	0.134	0.96	23066.0	5.02	1.0
theta[678]	0.598	0.004	0.594	-0.377	0.595	1.56	22091.0	4.81	1.0
theta[679]	0.463	0.00344	0.515	-0.38	0.461	1.3	22460.0	4.89	1.0
theta[680]	1.7	0.00457	0.658	0.653	1.68	2.83	20698.0	4.51	1.0
theta[681]	-0.765	0.00419	0.586	-1.77	-0.745	0.154	19567.0	4.26	1.0
theta[682]	-0.531	0.00369	0.565	-1.51	-0.511	0.348	23460.0	5.11	1.0
theta[683]	0.463	0.00385	0.582	-0.494	0.464	1.42	22815.0	4.97	1.0
theta[684]	0.397	0.00348	0.524	-0.466	0.401	1.25	22715.0	4.95	1.0
theta[685]	-1.03	0.004	0.549	-1.98	-1.0	-0.177	18791.0	4.09	1.0
theta[686]	-0.275	0.0039	0.56	-1.21	-0.264	0.619	20644.0	4.49	1.0
theta[687]	0.345	0.00403	0.548	-0.561	0.348	1.24	18489.0	4.03	1.0
theta[688]	-0.00315	0.0034	0.515	-0.859	-0.000704	0.833	22958.0	5.0	1.0
theta[689]	-0.639	0.00366	0.518	-1.52	-0.622	0.183	20051.0	4.37	1.0
theta[690]	1.69	0.0044	0.67	0.616	1.68	2.84	23235.0	5.06	1.0
theta[691]	-0.946	0.00358	0.528	-1.85	-0.925	-0.122	21732.0	4.73	1.0
theta[692]	-1.29	0.00443	0.6	-2.35	-1.25	-0.372	18332.0	3.99	1.0
theta[693]	0.000203	0.00426	0.613	-1.04	0.0216	0.964	20697.0	4.51	1.0
theta[694]	0.388	0.00341	0.493	-0.441	0.388	1.2	20958.0	4.56	1.0
theta[695]	-0.455	0.00392	0.577	-1.42	-0.446	0.47	21651.0	4.71	1.0
theta[696]	-0.311	0.00359	0.504	-1.18	-0.289	0.464	19708.0	4.29	1.0
theta[697]	-1.81	0.0042	0.615	-2.87	-1.79	-0.848	21404.0	4.66	1.0
theta[698]	-0.23	0.00378	0.543	-1.14	-0.217	0.637	20569.0	4.48	1.0
