subject,trial,item,dimension,test_form,shape_set,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
01b653iwjusnxf359qk7596t,1,22,2,1,3,1,0.0,1.0,0.757,0.7479967616939535,0.018032483693672267,0.09086344981364679,-0.30843920682532655,-9.15378852293544,0.12497835523490997,0.1820259092106039
01b653iwjusnxf359qk7596t,2,28,2,2,2,0,0.0,1.0,0.6511,0.656579246514903,0.032921310392514044,0.09086344981364679,-0.45372601385764,-9.15378852293544,0.03248279559370815,0.1820259092106039
01b653iwjusnxf359qk7596t,3,70,2,2,2,0,0.0,1.0,0.8811,0.8833521487617277,0.004356428284917105,0.09086344981364679,-0.12839260045793388,-9.15378852293544,0.036781065500752434,0.1820259092106039
01b653iwjusnxf359qk7596t,4,51,2,1,2,1,0.0,1.0,0.8155,0.810238694694059,0.010691497715216564,0.09086344981364679,-0.22114244404170869,-9.15378852293544,0.15433733309280734,0.1820259092106039
01b653iwjusnxf359qk7596t,5,11,3,1,1,1,3.0,0.0,0.5357,0.46284238371141084,0.07997140163963266,0.09086344981364679,-0.8507338478526059,-9.15378852293544,0.09627136765436707,0.1820259092106039
01b653iwjusnxf359qk7596t,6,31,3,2,2,0,1.0,0.0,0.6403,0.364715821497165,0.10976013052429968,0.09086344981364679,-1.1188039490312445,-9.15378852293544,0.12253549020320721,0.1820259092106039
01b653iwjusnxf359qk7596t,7,17,4,2,3,0,2.0,0.0,0.5264,0.48293014069731643,0.07390688658328119,0.09086344981364679,-0.8020926778363897,-9.15378852293544,0.10635820928507075,0.1820259092106039
01b653iwjusnxf359qk7596t,8,62,3,1,1,1,0.0,1.0,0.9215,0.91916932867869,0.0023004548536392127,0.09086344981364679,-0.08658736495477903,-9.15378852293544,0.14853011499828717,0.1820259092106039
01b653iwjusnxf359qk7596t,9,42,4,1,2,1,1.0,0.0,0.4938,0.4983031290242743,0.06937016704035263,0.09086344981364679,-0.7661964521402105,-9.15378852293544,0.04993639280773732,0.1820259092106039
01b653iwjusnxf359qk7596t,10,60,4,2,1,0,0.0,1.0,0.4887,0.497958242888948,0.06818196794229628,0.09086344981364679,-0.7656172213279753,-9.15378852293544,0.05093977724718727,0.1820259092106039
01b653iwjusnxf359qk7596t,11,52,5,1,3,1,0.0,1.0,0.4385,0.43923908668436834,0.08364358568827777,0.09086344981364679,-0.9065007815415793,-9.15378852293544,0.021554602841119333,0.1820259092106039
01b653iwjusnxf359qk7596t,12,63,5,2,1,0,3.0,0.0,0.3132,0.6816147922051718,0.02919270220013686,0.09086344981364679,-0.4126145501284757,-9.15378852293544,0.04808500692080221,0.1820259092106039
01b653iwjusnxf359qk7596t,13,46,6,1,3,1,0.0,1.0,0.471,0.47050131709006693,0.07561666627492328,0.09086344981364679,-0.8297549957588792,-9.15378852293544,0.011922648012026858,0.1820259092106039
01b653iwjusnxf359qk7596t,14,54,6,2,1,0,3.0,0.0,0.3356,0.6621812341503519,0.03228300177208798,0.09086344981364679,-0.4446431183015509,-9.15378852293544,0.04974435812998148,0.1820259092106039
01b653iwjusnxf359qk7596t,15,78,7,2,1,0,3.0,0.0,0.4125,0.5840559315464028,0.047974026115197514,0.09086344981364679,-0.5859422940042052,-9.15378852293544,0.004677003401616879,0.1820259092106039
01b653iwjusnxf359qk7596t,16,30,7,1,2,1,0.0,1.0,0.6827,0.6728734611403066,0.02940005226650094,0.09086344981364679,-0.42568830353177134,-9.15378852293544,0.08217461823382353,0.1820259092106039
0374obg53yvd969wid8t8a71,1,25,2,2,2,1,0.0,1.0,0.9434,0.9455625902219453,0.001150226823394577,0.11586942236542361,-0.05712591935333755,-8.035021895608413,0.15605028098178708,0.23301715592653727
0374obg53yvd969wid8t8a71,2,22,2,1,3,0,0.0,1.0,0.915,0.9155741098210077,0.0027217009066764506,0.11586942236542361,-0.09092993287622875,-8.035021895608413,0.23495728962857138,0.23301715592653727
0374obg53yvd969wid8t8a71,3,71,2,2,3,1,0.0,1.0,0.9282,0.9290983346343837,0.0019525642224545543,0.11586942236542361,-0.07549455840147523,-8.035021895608413,0.10006317042686984,0.23301715592653727
0374obg53yvd969wid8t8a71,4,49,2,1,3,0,0.0,1.0,0.9543,0.9587857096340844,0.0007041436972720246,0.11586942236542361,-0.042792082950574795,-8.035021895608413,0.08929548211834626,0.23301715592653727
