item,b0,b1,b2,b3,b4,f1,f2,p1,p2,fwe1,fwe2
70,3.483359,1.054642,-0.227245,-0.269728,-1.166595,0.360164,3.873431,0.548757,0.021575,1.0,0.708658
71,1.837312,1.165489,0.591638,0.105817,-0.291168,3.317485,0.602685,0.069383,0.547896,0.988202,1.0
72,0.443,0.564713,-0.625316,0.082028,-0.016638,8.254573,0.078959,0.004297,0.924093,0.218356,1.0
73,1.06085,0.730931,-0.750769,-0.782795,-0.167617,11.349124,4.146169,0.000831,0.016537,0.037792,0.605279
74,0.437666,0.6842,-0.652832,-0.861276,-0.249478,8.037668,4.670251,0.004842,0.00995,0.237752,0.421516
75,-0.447812,0.520753,-0.659087,0.916987,0.927306,9.180002,7.653114,0.002611,0.00055,0.129374,0.024395
76,0.249906,0.605734,-0.6654,0.382872,-0.38473,9.055292,4.069839,0.002798,0.017849,0.137572,0.633473
77,1.302069,0.774303,-0.128359,0.316139,-0.038408,0.253499,0.741487,0.614914,0.477093,1.0,1.0
78,0.13078,0.305622,-0.295126,-0.574068,-0.393234,1.868369,2.621409,0.172501,0.074065,1.0,0.991402
79,0.013559,0.621342,-0.982465,0.056635,0.555931,17.943496,2.331461,2.9e-05,0.098623,0.0012,0.9986
80,0.346843,0.752138,-0.649724,-0.239812,-0.441065,7.830513,1.277994,0.005425,0.279907,0.265347,1.0
