item,Q1,p
1,7.562920617699438,0.0169
2,7.023764976116219,0.0361
3,9.147864444191946,0.0126
4,11.580974685655425,0.0747
5,11.464637520379735,0.0406
6,23.251462466314138,0.9927
7,7.790266452790327,0.0043
8,10.202024924065322,0.0261
9,19.124286135656185,0.8919
10,6.1573656321087515,0.0018
11,12.463196776168907,0.0615
12,9.928779101705862,0.0165
13,14.571261573643064,0.3721
14,9.98195410510041,0.055
15,18.503179305617493,0.8832
16,7.591755812732165,0.0054
17,10.2836571660074,0.0566
18,9.166311935461037,0.026
19,8.257857934619052,0.0079
20,11.521224830665432,0.0473
21,22.050533992855648,0.9125
22,11.465432383173543,0.1253
23,6.596887162264703,0.0068
24,14.211292097507592,0.3286
25,16.696876803643505,0.5892
26,11.782789300886899,0.0452
27,10.511734018128802,0.0683
28,6.706569640327349,0.0107
29,8.384604136769012,0.0082
30,6.7615763007399,0.0019
31,7.801864896133763,0.0041
32,11.887505614904049,0.1308
33,13.8775875146453,0.2392
34,8.577389281520878,0.044
35,16.0599083836723,0.5762
36,10.726306635795863,0.0245
37,9.621548979254602,0.0566
38,12.193668626510215,0.074
39,5.756872114191873,0.0009
40,9.43109222171924,0.0236
41,11.151871511738737,0.0534
42,11.17125878425582,0.0847
43,12.001297566413687,0.1608
44,8.468876987526228,0.0295
45,13.645768648946797,0.136
46,7.112822996848589,0.0021
47,14.789668564406279,0.2736
48,12.702931996321437,0.1874
49,10.965937084857687,0.0369
50,14.526546807494832,0.3299
51,8.55282669436748,0.0145
52,7.712135827172221,0.0033
53,9.80826820214826,0.0158
54,4.12533446132643,0.0009
55,17.307043764708848,0.7704
56,5.963659257740824,0.001
57,10.320047092764094,0.0263
58,4.543632588953415,0.0011
59,17.633404058014396,0.6872
60,4.734788319422209,0.0006
61,7.13812256828127,0.0019
62,16.525310416851433,0.587
63,14.79448125064711,0.338
64,11.115963983602496,0.0924
65,15.51871255573754,0.4104
66,21.784825160339093,0.9996
67,7.404659299138571,0.0044
68,15.42099034610542,0.4387
69,5.7797315931203,0.0027
70,10.142097437622844,0.0626
71,3.8590397499463136,0.0013
72,11.973246683441344,0.1342
73,8.947851142023127,0.0147
74,16.212423365426588,0.5198
75,6.6850246921268,0.0046
76,10.424190055446536,0.0658
77,16.69490933273018,0.6902
78,5.725503632243107,0.0008
79,6.621833680946371,0.0014
80,18.11429672181465,0.8006
81,11.981982399192193,0.1122
82,8.97708450270575,0.0151
83,14.797723491456264,0.2935
84,15.549957431677962,0.4328
85,11.386622499612463,0.1151
86,10.526649720895971,0.1029
87,6.9548706894991,0.0024
88,12.650000098197225,0.1039
89,12.171266497642637,0.0481
90,25.659622224877474,0.9999
91,21.45886170366894,0.9999
92,9.829107197008723,0.0362
93,10.694866598422118,0.0708
94,6.422678666609827,0.0017
95,17.85700956781061,0.7349
96,17.71002290758972,0.7083
97,12.920621348613018,0.2034
98,12.574093339183316,0.1432
99,12.413266652122484,0.2136
100,9.52659712611924,0.0491
101,21.147566390371484,0.9961
102,18.511443417844585,0.8771
103,12.026868211951678,0.0681
104,10.407639894856397,0.0407
105,17.53038426191919,0.7386
106,8.152083198904931,0.0173
107,7.298595796180022,0.0082
108,14.409679546573702,0.3063
109,6.800712077501422,0.0134
110,19.203653303137862,0.7104
111,17.910469385137237,0.8567
112,9.31014803789582,0.0167
113,10.545447135931894,0.0293
114,13.159233873088736,0.1797
115,10.909691764060303,0.0998
116,14.036287069300181,0.3126
117,15.405336718471151,0.4014
118,20.841943383956067,0.9947
119,13.411860667487687,0.1703
120,11.864193782274503,0.0906
121,11.887180124229053,0.0734
122,17.161974836457528,0.606
123,16.521765739614576,0.661
124,22.77235562959867,1.0
125,8.948353159529578,0.0084
126,17.153896109988644,0.7539
127,11.421551273511115,0.0612
128,11.115707835767605,0.0649
